source,order,family,genus,specificEp,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,Coleoptera,Histeridae,Saprinus,oregonensis,1934,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Histeridae,Saprinus,sp. nr. laridus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Histeridae,Xerosaprinus,fimbriatus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Histeridae,Xerosaprinus,lubricus,1897,Can. Ent.,,,,,x,x,,,,x
lit,Coleoptera,Histeridae,Xerosaprinus,lubricus,1934,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Histeridae,Xerosaprinus,vitiosus,1892,Zoe,1892,8,,,x,,,,,
lit,Coleoptera,Histeridae,Xerosaprinus,vitiosus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Hydraenidae,Hydraena,arenicola,1981,Quaest. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydraenidae,Hydraena,circulata,1981,Quaest. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydraenidae,Hydraena,vandykei,1981,Quaest. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydraenidae,Ochthebius,discretus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Hydraenidae,Ochthebius,puncticollis,1981,Quaest. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Berosus,fraternus,1966,"Cath. Univ. Amer., Ph.D.",,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Berosus,hatchi,1966,"Cath. Univ. Amer., Ph.D.",,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,fimbriatus,1978,Mem. Ent. Soc. Can.,,,,,,,,?,,
lit,Coleoptera,Hydrophilidae,Cercyon,fimbriatus,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,haemorrhoides,1985,Ent. Calif. Ch. Isls. Proc.,1983,3,,x,,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,luniger,1980,The Calif. Isls.: Proc. Multi.,,,,,,,,x,,
lit,Coleoptera,Hydrophilidae,Cercyon,luniger,1982,"Tech. Rep., Allan Hancock, USC",,,,,,,,x,,
lit,Coleoptera,Hydrophilidae,Cercyon,luniger,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,sp.,1980,The Calif. Isls.: Proc. Multi.,,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,sp.,1982,"Tech. Rep., Allan Hancock, USC",,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,sp.,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,spathifer,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,spathifer,1901,Calif. Acad. Sci. Occ. Pap.,,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,spathifer,1931,Pan-Pac. Ent.,,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,spathifer,1948,Proc. Calif. Acad. Sci. ser. 4,,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cercyon,spathifer,1978,Mem. Ent. Soc. Can.,,,,,x,,x,,,
lit,Coleoptera,Hydrophilidae,Chaetarthria,hespera,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Chaetarthria,hespera,1974,Ent. Amer.,,,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Cymbiodyta,dorsalis,1897,Can. Ent.,,,,,x,,,,,x
lit,Coleoptera,Hydrophilidae,Cymbiodyta,dorsalis,1927,Pan-Pac. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Cymbiodyta,dorsalis,1948,Proc. Calif. Acad. Sci. ser. 4,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Cymbiodyta,dorsalis,1974,Mem. Ent. Soc. Can.,,,,,x,,x,x,,
lit,Coleoptera,Hydrophilidae,Cymbiodyta,punctatostriata,1974,Mem. Ent. Soc. Can.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Enochrus,carinatus,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,x,,
lit,Coleoptera,Hydrophilidae,Hydrochara,lineata,1876,App. JJ Ann. Rept. Eng.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Hydrochara,lineata,1897,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Hydrochara,lineata,1901,Calif. Acad. Sci. Occ. Pap.,,,,,,,x,,,x
lit,Coleoptera,Hydrophilidae,Hydrochara,lineata,1934,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Hydrochara,lineata,1934,Can. Ent.,1933,4,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Hydrochara,lineata,1980,Mem. Ent. Soc. Can.,,,,,,,x,,,x
lit,Coleoptera,Hydrophilidae,Laccobius,californicus,1986,Ann. Oss. ... Sem. Arch. Mil.,,5,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Laccobius,ellipticus,1897,Can. Ent.,,,,,x,,,,,x
lit,Coleoptera,Hydrophilidae,Laccobius,ellipticus,1926,Pan-Pac. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Laccobius,ellipticus,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,,
lit,Coleoptera,Hydrophilidae,Laccobius,ellipticus,1942,Bull. Mus. R. Hist. Nat. Belg.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Laccobius,ellipticus,1986,Ann. Oss. ... Sem. Arch. Mil.,,,,,x,,x,,,
lit,Coleoptera,Hydrophilidae,Laccobius,ellipticus,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Tropisternus,californicus,1876,App. JJ Ann. Rept. Eng.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Tropisternus,californicus,1892,Zoe,1892,8,,,x,,,,,
lit,Coleoptera,Hydrophilidae,Tropisternus,californicus,1897,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Tropisternus,californicus,1934,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Hydrophilidae,Tropisternus,ellipticus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Lathridiidae,Akalyptoischion,hormathos,1976,"Occ. Pap. Ent., CDFA",,,,x,,,,,,
lit,Coleoptera,Lathridiidae,Akalyptoischion,hormathos,1985,Ent. Calif. Ch. Isls. Proc.,1974,6,,x,,,,,,
lit,Coleoptera,Lathridiidae,Corticarina,fuscula,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,x,,
lit,Coleoptera,Lathridiidae,Corticarina,milleri,1992,Coleop. Bull.,,,,x,,,,x,x,x
lit,Coleoptera,Lathridiidae,Corticarina,n. sp.,1985,Ent. Calif. Ch. Isls. Proc.,1974,6,,x,,,,x,,
lit,Coleoptera,Lathridiidae,Corticarina,sp.,1985,Ent. Calif. Ch. Isls. Proc.,1974,6,,x,,,,,,
lit,Coleoptera,Lathridiidae,Corticarina,sp.,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Lathridiidae,Melanophthalma,americana,1897,Can. Ent.,,,,,x,x,,,,
lit,Coleoptera,Lathridiidae,Melanophthalma,casta,1985,Ent. Calif. Ch. Isls. Proc.,1974,6,,x,,,,,x,
lit,Coleoptera,Lathridiidae,Melanophthalma,insularis,1899,Trans. Amer. Ent. Soc.,,,,,,x,,,,
lit,Coleoptera,Lathridiidae,Melanophthalma,insularis,1901,Calif. Acad. Sci. Occ. Pap.,,,,,,x,,,,
lit,Coleoptera,Lathridiidae,Metophthalmus,rudis,1976,Coleop. Bull.,,,,,,,x,,,
lit,Coleoptera,Lathridiidae,Stephostethus,costicollis,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Lathridiidae,Stephostethus,costicollis,1940,Proc. Sixth Pac. Sci. Cong.,,,,,x,,,,,
lit,Coleoptera,Lathridiidae,Stephostethus,liratus,1899,Trans. Amer. Ent. Soc.,,,,,x,,,,,
lit,Coleoptera,Meloidae,Cordylospasta,opaca,1972,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Meloidae,Epicauta,puncticollis,1979,Wasmann J. Biol.,,,,,,,,,,x
lit,Coleoptera,Meloidae,Meloe,barbarus,1861,Proc. Acad. Nat. Sci. Phil.,,,,,,,x,,,
lit,Coleoptera,Meloidae,Meloe,barbarus,1897,Can. Ent.,,,,x,,,,,,
lit,Coleoptera,Meloidae,Meloe,barbarus,1970,Illinois Biol. Mono.,,,,x,x,x,,,,
lit,Coleoptera,Meloidae,Meloe,barbarus,1901,Calif. Acad. Sci. Occ. Pap.,,,,x,,,,,,
lit,Coleoptera,Meloidae,Meloe,barbarus,1928,Univ. Calif. Publ. Ent.,,,,x,,x,,,,
lit,Coleoptera,Meloidae,Meloe,barbarus,1940,Proc. Sixth Pac. Sci. Cong.,,,,x,,,,x,,
lit,Coleoptera,Meloidae,Meloe,barbarus,1897,Can. Ent.,,,,x,,,,,,
lit,Coleoptera,Meloidae,Meloe,barbarus,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,x,x,x,,x,
lit,Coleoptera,Meloidae,Meloe,sp.,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Meloidae,Meloe,strigulosus,1970,Illinois Biol. Mono.,,,,,,,,x,,
lit,Coleoptera,Melyridae,Attalus,subfasciatus,NA,,,,,,,,,,,
lit,Coleoptera,Melyridae,Attalus,transmarinus,1897,Can. Ent.,,,,,,x,,,,
