Genus,AcceptedName,APGFamily
Aconitum,Aconitum columbianum Nuttall subsp. columbianum,Ranunculaceae
Aconogonon,Aconogonon phytolaccifolium (Small) Small,Polygonaceae
Aconogonon,Aconogonon phytolaccifolium (Small) Small,Polygonaceae
Aconogonon,Aconogonon phytolaccifolium (Small) Small,Polygonaceae
Aconogonon,Aconogonon davisiae (A. Gray) Soják,Polygonaceae
Aconogonon,Aconogonon newberryi (Small) Soják,Polygonaceae
Aconogonon,Aconogonon davisiae (A. Gray) Soják,Polygonaceae
Aconogonum,Aconogonon newberryi (Small) Soják,Polygonaceae
Acorus,Acorus calamus L.,Acoraceae
Acourtia,Acourtia microcephala de Candolle,Asteraceae
Acrachne,Acrachne racemosa (Roemer & J.A. Schultes) Ohwi,Poaceae
Acroptilon,Acroptilon repens (L.) de Candolle,Asteraceae
Actaea,Actaea rubra (Aiton) Willdenow,Ranunculaceae
Adenocaulon,Adenocaulon bicolor Hooker,Asteraceae
Adenolinum,Linum lewisii Pursh var. lewisii,Linaceae
Adenophyllum,Adenophyllum cooperi (A. Gray) Strother,Asteraceae
Adenophyllum,Adenophyllum porophylloides (A. Gray) Strother,Asteraceae
Adenostoma,Adenostoma fasciculatum Hooker & Arnott var. obtusifolium S. Watson,Rosaceae
Adenostoma,Adenostoma sparsifolium Torrey,Rosaceae
Adenostoma,Adenostoma fasciculatum Hooker & Arnott,Rosaceae
Adenostoma,Adenostoma fasciculatum Hooker & Arnott var. prostratum Dunkle,Rosaceae
Adenostoma,Adenostoma fasciculatum Hooker & Arnott var. fasciculatum,Rosaceae
Adiantum,Adiantum ×tracyi  W.H. Wagner,Pteridaceae
Adiantum,Adiantum aleuticum (Rupr.) Paris,Pteridaceae
Adiantum,Adiantum aleuticum (Rupr.) Paris,Pteridaceae
Adiantum,Adiantum capillus-veneris L.,Pteridaceae
Adiantum,Adiantum jordanii C. Mueller,Pteridaceae
Adolphia,Adolphia californica S. Watson,Rhamnaceae
Adonis,Adonis aestivalis L.,Ranunculaceae
Aegilops,Aegilops tauschii Coss.,Poaceae
Aegilops,Aegilops neglecta Bertol.,Poaceae
Aegilops,Aegilops cylindrica Host,Poaceae
Aegilops,Aegilops geniculata Roth,Poaceae
Aegilops,Aegilops geniculata Roth,Poaceae
Aegilops,Aegilops triuncialis L.,Poaceae
Aeonium,Aeonium haworthii Webb & Berth.,Crassulaceae
Aeonium,Aeonium arboreum (L.) Webb & Berth.,Crassulaceae
Aeschynomene,Aeschynomene rudis Bentham,Fabaceae
Aesculus,Aesculus californica (Spach) Nuttall,Sapindaceae
Agapanthus,Agapanthus praecox Willdenow,Agapanthaceae
Agastache,Agastache urticifolia (Bentham) Kuntze,Lamiaceae
Agastache,Agastache parvifolia Eastwood,Lamiaceae
Agastache,Agastache urticifolia (Bentham) Kuntze,Lamiaceae
Agastache,Agastache urticifolia (Bentham) Kuntze,Lamiaceae
Agave,Agave americana L.,Agavaceae
Agave,Agave deserti Engelmann,Agavaceae
Agave,Agave deserti Engelmann var. deserti,Agavaceae
Agave,Agave deserti Engelmann var. simplex (Gentry) W. C. Hodgson & Reveal,Agavaceae
Agave,Agave shawii Engelmann,Agavaceae
Agave,Agave utahensis Engelmann,Agavaceae
Agave,Agave utahensis Engelmann var. eborispina (Hester) Breitung,Agavaceae
Agave,Agave utahensis Engelmann var. nevadensis Greenman & Roush,Agavaceae
Agave,Agave americana L.,Agavaceae
Agave,Agave americana L.,Agavaceae
Ageratina,Ageratina herbacea (A. Gray) King & H. Robinson,Asteraceae
Ageratina,Ageratina adenophora (Sprengel) King & H. Robinson,Asteraceae
Ageratina,Ageratina occidentalis (Hooker) King & H. Robinson,Asteraceae
Ageratina,Ageratina shastensis (Taylor & Stebbins) King & H. Robinson,Asteraceae
Ageratum,Ageratum conyzoides L.,Asteraceae
Agnorhiza,Wyethia bolanderi (A. Gray) W.A. Weber,Asteraceae
Agnorhiza,Wyethia invenusta (Greene) W.A. Weber,Asteraceae
Agnorhiza,Wyethia elata Hall,Asteraceae
Agnorhiza,Wyethia ovata Torrey,Asteraceae
Agnorhiza,Wyethia reticulata Greene,Asteraceae
Agoseris,Agoseris ×dasycarpa Greene,Asteraceae
Agoseris,Agoseris glauca (Pursh) Rafinesque var. glauca,Asteraceae
Agoseris,Agoseris heterophylla (Nuttall) Greene var. heterophylla,Asteraceae
Agoseris,Agoseris retrorsa (Bentham) Greene,Asteraceae
Agoseris,Agoseris parviflora (Nuttall) D. Dietrich,Asteraceae
Agoseris,Nothocalais alpestris (A. Gray) Chambers,Asteraceae
Agoseris,Agoseris heterophylla (Nuttall) Greene var. cryptopleura Jepson,Asteraceae
Agoseris,Agoseris heterophylla (Nuttall) Greene,Asteraceae
Agoseris,Agoseris grandiflora (Nuttall) Greene var. leptophylla G.I. Baird,Asteraceae
Agoseris,Agoseris grandiflora (Nuttall) Greene var. grandiflora,Asteraceae
Agoseris,Agoseris grandiflora (Nuttall) Greene,Asteraceae
Agoseris,Agoseris hirsuta (Hooker) Greene,Asteraceae
Agoseris,Agoseris aurantiaca (Hooker) Greene var. aurantiaca,Asteraceae
Agoseris,Agoseris aurantiaca (Hooker) Greene,Asteraceae
Agoseris,Agoseris apargioides (Lessing) Greene var. maritima (Sheldon) Cronquist,Asteraceae
Agoseris,Agoseris apargioides (Lessing) Greene var. eastwoodiae (Fedde) Munz,Asteraceae
Agoseris,Agoseris apargioides (Lessing) Greene var. apargioides,Asteraceae
Agoseris,Agoseris apargioides (Lessing) Greene,Asteraceae
Agoseris,Agoseris ×elata (Nuttall) Greene,Asteraceae
Agoseris,Agoseris monticola Greene,Asteraceae
Agoseris,Agoseris glauca (Pursh) Rafinesque,Asteraceae
Agrimonia,Agrimonia gryposepala Wallr.,Rosaceae
Agrimonia,Agrimonia striata Michaux,Rosaceae
Agrohordeum,×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey,Poaceae
Agropogon,×Agropogon littoralis (Sm.) C.E. Hubbard,Poaceae
Agropyron,Pseudoroegneria spicata (Pursh) A. Löve,Poaceae
Agropyron,Pascopyrum smithii (Rydberg) A. Löve,Poaceae
Agropyron,Pseudoroegneria spicata (Pursh) A. Löve,Poaceae
Agropyron,Elymus lanceolatus (Scribner & J.G. Smith) Gould subsp. lanceolatus,Poaceae
Agropyron,Elymus repens (L.) Gould,Poaceae
Agropyron,Elymus ×saundersii Vasey,Poaceae
Agropyron,Elymus lanceolatus (Scribner & J.G. Smith) Gould subsp. lanceolatus,Poaceae
Agropyron,Elymus lanceolatus (Scribner & J.G. Smith) Gould subsp. lanceolatus,Poaceae
Agropyron,Elymus lanceolatus (Scribner & J.G. Smith) Gould subsp. lanceolatus,Poaceae
Agropyron,Elymus scribneri (Vasey) M.E. Jones,Poaceae
Agropyron,Elymus stebbinsii Gould,Poaceae
Agropyron,Elymus trachycaulus (Link) Shinners subsp. trachycaulus,Poaceae
Agropyron,Agropyron fragile (Roth) Candargy,Poaceae
Agropyron,Thinopyrum intermedium (Host) Barkworth & D.R. Dewey,Poaceae
Agropyron,Agropyron cristatum (L.) Gaertner subsp. pectinatum (Bieb.) Tzvelev,Poaceae
Agropyron,Thinopyrum intermedium (Host) Barkworth & D.R. Dewey,Poaceae
Agropyron,Thinopyrum intermedium (Host) Barkworth & D.R. Dewey,Poaceae
Agropyron,Elymus repens (L.) Gould,Poaceae
Agropyron,Thinopyrum ponticum (Podp.) Barkworth and Dewey,Poaceae
Agropyron,Elymus trachycaulus (Link) Shinners subsp. trachycaulus,Poaceae
Agropyron,×Pseudelymus saxicola (Scribner & J.G. Smith) Barkworth & D.R. Dewey,Poaceae
Agropyron,Agropyron cristatum (L.) Gaertner,Poaceae
Agropyron,Agropyron cristatum (L.) Gaertner subsp. pectinatum (Bieb.) Tzvelev,Poaceae
Agrositanion,×Pseudelymus saxicola (Scribner & J.G. Smith) Barkworth & D.R. Dewey,Poaceae
Agrositanion,Elymus ×saundersii Vasey,Poaceae
Agrostemma,Agrostemma githago L.,Caryophyllaceae
Agrostis,Podagrostis thurberiana (Hitchcock) Hulten,Poaceae
Agrostis,Agrostis nebulosa Bossier & Reut. not in CA,Poaceae
Agrostis,Agrostis lacuna-vernalis P. M. Peterson & Soreng,Poaceae
Agrostis,Apera interrupta (L.) P. Beauv.,Poaceae
Agrostis,Agrostis stolonifera L.,Poaceae
Agrostis,Agrostis pallens Trin.,Poaceae
Agrostis,Agrostis pallens Trin.,Poaceae
Agrostis,Agrostis scabra Willdenow,Poaceae
Agrostis,Agrostis scabra Willdenow,Poaceae
Agrostis,Agrostis pallens Trin.,Poaceae
Agrostis,Bromidium tandilense (Kunze) Rugolo,Poaceae
Agrostis,Bromidium tandilense (Kunze) Rugolo,Poaceae
Agrostis,Agrostis variabilis Rydberg,Poaceae
Agrostis,Polypogon viridis (Gouan) Breistr.,Poaceae
Agrostis,Polypogon viridis (Gouan) Breistr.,Poaceae
Agrostis,Apera spica-venti (L.) P. Beauv.,Poaceae
Agrostis,Agrostis microphylla Steudel,Poaceae
Agrostis,Agrostis microphylla Steudel,Poaceae
Agrostis,Polypogon viridis (Gouan) Breistr.,Poaceae
Agrostis,Agrostis elliottiana J.A. Schultes,Poaceae
Agrostis,Lachnagrostis filiformis (G. Forst.) Trin.,Poaceae
Agrostis,Agrostis blasdalei A. Hitchcock,Poaceae
Agrostis,Agrostis blasdalei A. Hitchcock,Poaceae
Agrostis,Agrostis capillaris L.,Poaceae
Agrostis,Agrostis densiflora Vasey,Poaceae
Agrostis,Agrostis densiflora Vasey,Poaceae
Agrostis,Agrostis densiflora Vasey,Poaceae
Agrostis,Agrostis densiflora Vasey,Poaceae
Agrostis,Agrostis densiflora Vasey,Poaceae
Agrostis,Agrostis oregonensis Vasey,Poaceae
Agrostis,Agrostis elliottiana J.A. Schultes,Poaceae
Agrostis,Agrostis microphylla Steudel,Poaceae
Agrostis,Agrostis exarata Trin.,Poaceae
Agrostis,Agrostis exarata Trin.,Poaceae
Agrostis,Agrostis hendersonii A. Hitchcock,Poaceae
Agrostis,Agrostis microphylla Steudel,Poaceae
Agrostis,Agrostis idahoensis Nash,Poaceae
Agrostis,Agrostis idahoensis Nash,Poaceae
Agrostis,Agrostis idahoensis Nash,Poaceae
Agrostis,Podagrostis thurberiana (Hitchcock) Hulten,Poaceae
Agrostis,Agrostis hendersonii A. Hitchcock,Poaceae
Agrostis,Agrostis exarata Trin.,Poaceae
Agrostis,Agrostis hooveri Swallen,Poaceae
Agrostis,Agrostis hallii Vasey,Poaceae
Agrostis,Agrostis gigantea Roth,Poaceae
Agrostis,Agrostis hallii Vasey,Poaceae
Agrostis,Agrostis gigantea Roth,Poaceae
Ailanthus,Ailanthus altissima (Miller) Swingle,Simaroubaceae
Ailanthus,Ailanthus altissima (Miller) Swingle,Simaroubaceae
Aira,Aira elegans Roemer & Schultes,Poaceae
Aira,Aira praecox L.,Poaceae
Aira,Aira caryophyllea L.,Poaceae
Aira,Aira elegans Roemer & Schultes,Poaceae
Aira,Aira elegans Roemer & Schultes,Poaceae
Albizia,Albizia lophantha (Willdenow) Bentham,Fabaceae
Albizia,Albizia julibrissin Durazz.,Fabaceae
Alcea,Alcea rosea L.,Malvaceae
Alchemilla,Aphanes occidentalis (Nuttall) Rydberg,Rosaceae
Aldama,Aldama purisimae (Brandegee) E.E. Schill. & Panero,Asteraceae
Alhagi,Alhagi maurorum  Medikus,Fabaceae
