source,order,family,genus,specificEp,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Anthophoridae,Exomalopsis (Anthophor.),nitens,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Exomalopsis (Anthophor.),nitens,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,depressa,1899,Can. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,depressa,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,depressa,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,depressa,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,miserabilis,1938,Ann. & Mag. Nat. Hist.,1938,5,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Habropoda,miserabilis,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Habropoda,miserabilis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Habropoda,sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,formula,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,,1,,1
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,formula,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,formula,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,formula,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,1,1,,1,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,formula,1986,Psyche,1984,5,,,,,,,1,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,suavis,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,,,1
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,suavis,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,suavis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,suavis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,1
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,suavis,1986,Psyche,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Melecta,separata separata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,scotti,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,scotti,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,scotti,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,catalinensis,NA,,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1905,Bull. S. Calif. Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1923,Proc. Calif. Acad. Sci. ser. 4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,,,,1
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,,,1,,,1
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1961,Univ. Kansas Sci. Bull.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Callimelissod,lupina,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Eumelissodes),agilis,1961,Univ. Kansas Sci. Bull.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Melissodes (Eumelissodes),agilis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 1,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 10,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 11,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 2,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 3,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 4,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 5,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 6,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 7,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 8,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada,sp. 9,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Nomada (Holonomada),edwardsii edwardsii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Nomada (Holonomada),edwardsii edwardsii,1972,Wasmann J. Biol.,,,,,,,1,,,
