 ,Country,State,County,Island,Locality Detail,FROM Date Collected,TO Date Collected,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Count,Part,Stage,Elevation,Lat,Lon,,,,,
LACM ENT 381862,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381863,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381864,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381865,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381866,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381867,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381868,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381869,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381870,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381871,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381872,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381873,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381874,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381875,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381876,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381877,USA,CA,Los Angeles,San Clemente,,17.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381878,USA,CA,Los Angeles,San Clemente,,17.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381879,USA,CA,Los Angeles,San Clemente,,17.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381880,USA,CA,Los Angeles,San Clemente,,18.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381881,USA,CA,Los Angeles,San Clemente,,18.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381882,USA,CA,Los Angeles,San Clemente,,18.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381883,USA,CA,Los Angeles,Santa Catalina,,"31.vii,1981",,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381884,USA,CA,Los Angeles,Santa Catalina,Haypress Reservoir,13.x.1982,,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381885,USA,CA,Los Angeles,San Clemente,,18.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381886,USA,CA,Los Angeles,San Clemente, ,17.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381887,USA,CA,Los Angeles,San Clemente,,17.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381888,USA,CA,Los Angeles,San Clemente,,17.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381889,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381890,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381891,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381892,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381893,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381894,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381895,USA,CA,Los Angeles,San Clemente,,16.xi.1939,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381896,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381897,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381898,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381899,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. D. Nagano,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 372659,USA,CA,Los Angeles,Santa Catalina,,8.v.1982,,S. Bennett,Hymenoptera,Apidae,,Diadasia,,rinconis,,26S-04686,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 377351,USA,CA,Los Angeles,Santa Catalina,,13.v.1981,,S. Bennett,Hymenoptera,Apidae,,Diadasia,,rinconis,,26S-04686,Channel Islands Survey,M,,,,,,,,,,,,,,
LACM ENT 377352,USA,CA,Los Angeles,Santa Catalina,,8.v.1982,,S. Bennett,Hymenoptera,Apidae,,Diadasia,,rinconis,,26S-04686,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 377353,USA,CA,Los Angeles,Santa Catalina,,29.5.1981,,Bennett et al,Hymenoptera,Apidae,,Diadasia,,rinconis,,26S-04686,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 377354,USA,CA,Los Angeles,Santa Catalina,,29.5.1981,,Bennett et al,Hymenoptera,Apidae,,Diadasia,,rinconis,,26S-04686,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 377355,USA,CA,Los Angeles,Santa Catalina,,29.5.1981,,Bennett et al,Hymenoptera,Apidae,,Diadasia,,rinconis,,26S-04686,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 377356,USA,CA,Ventura,San Nicolas,,27.ii.1982,,C. Nagnao,Hymenoptera,Apidae,,Anthophora,,edwardsii,,26S-04686,Channel Islands Survey,M,,,,,,,,,,,,,,
LACM ENT 377357,USA,CA,Los Angeles,Catalina Island,,29.v.1984,,S. Bennett,Hymenoptera,Apidae,,Centris,,Pallida,,26S-04686,Channel Islands Survey,F,,,,,,,,,,,,,,
LACM ENT 377358,USA,CA,Santa Barbara,Santa Barbara,,14.vii.1975,,D. R. Patton,Hymenoptera,Halictidae,,Agapostmon,,cockerelli,,26S-04686,Channel Islands Survey,F,,,,,,,,,,,,,,
LACM ENT 377359,USA,CA,Los Angeles,Santa Catalina,,13.x.1982,,S. Bennett,Hymenoptera,Xeromelecta,,Xeromelecta,,californica,,26S-04686,Channel Islands Survey,,At light,,,,,,,,,,,,,
LACM ENT 377360,USA,CA,Los Angeles,Santa Catalina,,29.v.1981,,Bennett et al,Hymenoptera,Apidae,,Diadasia,,opuntiae,,26S-04686,Channel Islands Survey,F,,,,,,,,,,,,,,
LACM ENT 377361,USA,CA,Los Angeles,Santa Catalina,,29.v.1981,,Bennett et al,Hymenoptera,Apidae,,Diadasia,,opuntiae,,26S-04686,Channel Islands Survey,F,,,,,,,,,,,,,,
