Catalog Number,kingdom,phylum,class,source,order,bee,family,genus,subgenus,specificEp,subspecies,scientificName,scientific name authorship,Collector,Associated Collector(s),month,day,year,Date Collected,Country,State,County,island ,locality ,Country,State/Province,County/Municipality,Verbatim Elevation,Elevation in Meters,Sampling Protocol,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Donated By,Identified By,Date Identified,Identification Remarks,Field Number,Associated Taxa,Habitat,Additional Label Data,Type Status,# of Male ?,# of Female ?,Individual Count,Sex,Life Stage,Basis of Record,Preparation,Disposition,Language,Institution Code,Collection Code,Owner Institution Code
BMEP0325683,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Agapostemon,Agapostemon,texanus,,Agapostemon texanus ,"Cresson, 1872","Menke, A.S.","Miller, D.R., Rust, R.W.",6,29,1978,6/29/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Bulrush Canyon",United States,California,Los Angeles,100-600ft,30 m,,,33.343°,-118.434°,,,,,,,,,none,,1,1,Female,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325508,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Lasioglossum,Dialictus,californiae,,Lasioglossum californiae ,"(Ellis, 1924)","Menke, A.S.","Miller, D.R., Rust, R.W.",6,29,1978,6/29/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Bulrush Canyon",United States,California,Los Angeles,100-600ft,30 m,,,33.343°,-118.434°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325550,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Lasioglossum,Dialictus,californiae,,Lasioglossum californiae ,"(Ellis, 1924)","Menke, A.S.","Miller, D.R., Rust, R.W.",6,29,1978,6/29/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Bulrush Canyon",United States,California,Los Angeles,100-600ft,30 m,,,33.343°,-118.434°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325797,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,850 feet,259.08 m,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325798,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,,,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325799,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,,,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325800,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,,,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325801,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,,,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325802,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,,,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325803,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,,,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325804,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophorula,Anthophorisca,nitens,,Anthophorula nitens ,"(Cockerell, 1915)","Menke, A.S.","Miller, D.R., Rust, R.W.",7,3,1978,7/3/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Cape Canyon",United States,California,Los Angeles,,,,,33.366°,-118.409°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
