Institution Accession Number ,Country,State,County,Island,Locality Detail,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,scientificName,original_date,month,day_arabic,year,TO Date Collected,day_messy,month_messy,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Stage,Elevation
LACM ENT 424539,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Melanoplus,,cinereus,cyanipes,Melanoplus cinereus cyanipes,16.viii.1940,8,16,1940,,16,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424540,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Melanoplus,,cinereus,cyanipes,Melanoplus cinereus cyanipes,16.viii.1940,8,16,1940,,16,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424541,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Melanoplus,,cinereus,cyanipes,Melanoplus cinereus cyanipes,16.viii.1940,8,16,1940,,16,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424542,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424543,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424544,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424545,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,31.vii.1939,7,31,1939,,31,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424546,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424547,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,31.vii.1939,7,31,1939,,31,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424548,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424549,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,25.vii.1939,7,25,1939,,25,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424550,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424551,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,30.vii.1939,7,30,1939,,30,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424552,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424553,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424554,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424555,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424556,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424557,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424558,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424559,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424560,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424561,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,7.vii.1939,7,7,1939,,7,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424562,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,5.vii.1939,7,5,1939,,5,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424563,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,7.vii.1939,7,7,1939,,7,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424564,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,8.vii.1939,7,8,1939,,8,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424565,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,5.vii.1939,7,5,1939,,5,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424566,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,5.vii.1939,7,5,1939,,5,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424567,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,7.vii.1939,7,7,1939,,7,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424568,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,6.vii.1939,7,6,1939,,6,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424569,USA,CA,Santa Barbara,Santa Rosa,,,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,7.vii.1939,7,7,1939,,7,vii,26P-04616,Channel Islands Survey,,,,No head,,
LACM ENT 424570,USA,CA,Santa Barbara,San Miguel,,J.C. von Bloeker,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,3.viii.1939,8,3,1939,,3,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424571,USA,CA,Santa Barbara,San Miguel,,J.P. Donahue,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,17.viii.1970,8,17,1970,,17,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424572,USA,CA,Santa Barbara,San Miguel,,J.P. Donahue,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,17.viii.1970,8,17,1970,,17,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424573,USA,CA,Los Angeles,Santa Catalina,Isthmus,F.R. Fosberg,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,vii.1931,6,7,1931,,vii,,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424574,USA,CA,Los Angeles,Santa Catalina,USC Marine Science Center,"CD Nagano, JN Hogue",Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,10.viii.1980,8,10,1980,,10,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424575,USA,CA,Los Angeles,Santa Catalina,"Catalina Island Marine Institute, Toyon Bay",S. Bennett,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,9.x.1983,10,9,1983,,9,x,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424576,USA,CA,Los Angeles,Santa Catalina,Whites Landing,J.P. Donahue,Orthoptera,Acrididae,,Melanoplus,,devastator,,Melanoplus devastator ,22.viii.1970,8,22,1970,,22,viii,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424577,USA,CA,Santa Barbara,Santa Rosa,,J.C. von Bloeker,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,2.iv.1941,4,2,1941,,2,iv,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424578,USA,CA,Santa Barbara,Santa Rosa,,J.C. von Bloeker,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,2.iv.1941,4,2,1941,,2,iv,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424579,USA,CA,Santa Barbara,San Miguel,,J.C. von Bloeker,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,3.viii.1939,8,3,1939,,3,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424580,USA,CA,Santa Barbara,Santa Rosa,,G.P. Kanakoff,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,5.iv.1941,4,5,1941,,5,iv,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424581,USA,CA,Santa Barbara,Santa Rosa,Beechers Bay,W.D. Pierce,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,4.iv.1941,4,4,1941,,4,iv,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424582,USA,CA,Santa Barbara,San Miguel,,J.C. von Bloeker,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,3.viii.1939,8,3,1939,,3,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424583,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,16.viii.1940,8,16,1940,,16,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424584,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Melanoplus,,,,Melanoplus  ,16.viii.1940,8,16,1940,,16,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424585,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,31.vii.1939,7,31,1939,,31,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424586,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,31.vii.1939,7,31,1939,,31,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424587,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,25.viii.1939,8,25,1939,,25,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424588,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424589,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424590,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,30.vii.1939,7,30,1939,,30,vii,26P-04616,Channel Islands Survey,,,,,,
