"","Institution Accession Number","Country","State","County","Island","Locality Detail","Collector(s)","Order","Family","Subfamily","Genus","Subgenus","Species","Subspecies","scientificName","original_date","month","day_arabic","year","TO Date Collected","day_messy","month_messy","Drawer","Survey","Sex","Collecting Remarks","Type","Curation Remarks","Stage","Elevation","acceptedFamily","acceptedGenus","acceptedName"
"83","LACM ENT 424578","USA","CA","Santa Barbara","Santa Rosa",NA,"J.C. von Bloeker","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","2.iv.1941",4,2,1941,NA,"2","iv","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","LACM ENT 424579","USA","CA","Santa Barbara","San Miguel",NA,"J.C. von Bloeker","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","3.viii.1939",8,3,1939,NA,"3","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","LACM ENT 424580","USA","CA","Santa Barbara","Santa Rosa",NA,"G.P. Kanakoff","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","5.iv.1941",4,5,1941,NA,"5","iv","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","LACM ENT 424581","USA","CA","Santa Barbara","Santa Rosa","Beechers Bay","W.D. Pierce","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","4.iv.1941",4,4,1941,NA,"4","iv","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","LACM ENT 424582","USA","CA","Santa Barbara","San Miguel",NA,"J.C. von Bloeker","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","3.viii.1939",8,3,1939,NA,"3","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","LACM ENT 424583","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","16.viii.1940",8,16,1940,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","LACM ENT 424584","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","16.viii.1940",8,16,1940,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","LACM ENT 424585","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","LACM ENT 424586","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","LACM ENT 424587","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","25.viii.1939",8,25,1939,NA,"25","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","LACM ENT 424588","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","LACM ENT 424589","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","LACM ENT 424590","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","30.vii.1939",7,30,1939,NA,"30","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","LACM ENT 424591","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","LACM ENT 424592","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","LACM ENT 424593","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","LACM ENT 424594","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","LACM ENT 424595","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","LACM ENT 424596","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","30.vii.1939",7,30,1939,NA,"30","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","LACM ENT 424597","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","LACM ENT 424598","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","2.viii.1939",8,2,1939,NA,"2","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","LACM ENT 424599","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","25.vii.1939",7,25,1939,NA,"25","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","LACM ENT 424600","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","LACM ENT 424601","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","11.viii.1939",8,11,1939,NA,"11","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","LACM ENT 424602","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","5.vii.1939",7,5,1939,NA,"5","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","LACM ENT 424603","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey","F",NA,NA,NA,NA,NA,NA,NA,NA
"109","LACM ENT 424604","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","7.vii.1939",7,7,1939,NA,"7","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","LACM ENT 424605","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","7.vii.1939",7,7,1939,NA,"7","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","LACM ENT 424606","USA","CA","Santa Barbara","Santa Barbara",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","28.v.1939",5,28,1939,NA,"28","v","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","LACM ENT 424607","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","5.vii.1939",7,5,1939,NA,"5","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","LACM ENT 424608","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","26.vii.1939",7,26,1939,NA,"26","vii","26P-04616","Channel Islands Survey","F",NA,NA,NA,NA,NA,NA,NA,NA
"114","LACM ENT 424609","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey","F",NA,NA,NA,NA,NA,NA,NA,NA
"115","LACM ENT 424610","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"116","LACM ENT 424611","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","LACM ENT 424612","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","LACM ENT 424613","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","LACM ENT 424614","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Camnula",NA,"pellucida",NA,"Camnula pellucida","16.viii.1970",8,16,1970,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","LACM ENT 424615","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Dissosteira",NA,"pictipennis",NA,"Dissosteira pictipennis","16.viii.1939",8,16,1939,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","LACM ENT 424616","USA","CA","Santa Barbara","Santa Cruz",NA,"L.M. Martin","Orthoptera","Acrididae",NA,"Dissosteira",NA,"pictipennis",NA,"Dissosteira pictipennis","17.viii.1939",8,17,1939,NA,"17","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","LACM ENT 424617","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Dissosteira",NA,"pictipennis",NA,"Dissosteira pictipennis","14.viii.1939",8,14,1939,NA,"14","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","LACM ENT 424618","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Dissosteira",NA,"pictipennis",NA,"Dissosteira pictipennis","5.vii.1939",7,5,1939,NA,"5","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","LACM ENT 424619","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Dissosteira",NA,"pictipennis",NA,"Dissosteira pictipennis","9.vii.1939",7,9,1939,NA,"9","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","LACM ENT 424620","USA","CA","Los Angeles","San Clemente",NA,NA,"Orthoptera","Acrididae",NA,"Leprus",NA,"intermedius",NA,"Leprus intermedius","7.iv.1939",4,7,1939,NA,"7","iv","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Leprus","Leprus intermedius"
"126","LACM ENT 424621","USA","CA","Los Angeles","San Clemente",NA,NA,"Orthoptera","Acrididae",NA,"Leprus",NA,"intermedius",NA,"Leprus intermedius","5.iv.1939",4,5,1939,NA,"5","iv","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Leprus","Leprus intermedius"
"127","LACM ENT 424622","USA","CA","Los Angeles","San Clemente",NA,NA,"Orthoptera","Acrididae",NA,"Leprus",NA,"intermedius",NA,"Leprus intermedius","3.iv.1939",4,3,1939,NA,"3","iv","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Leprus","Leprus intermedius"
"128","LACM ENT 424623","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","2.viii.1939",8,2,1939,NA,"2","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","LACM ENT 424624","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","LACM ENT 424625","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","LACM ENT 424626","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","3.viii.1939",8,3,1939,NA,"3","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","LACM ENT 424627","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","LACM ENT 424628","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","LACM ENT 424629","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","LACM ENT 424630","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","6.vii.1939",7,6,1939,NA,"6","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","LACM ENT 424631","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","6.vii.1939",7,6,1939,NA,"6","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","LACM ENT 424632","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","6.vii.1939",7,6,1939,NA,"6","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","LACM ENT 424633","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","6.vii.1939",7,6,1939,NA,"6","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","LACM ENT 424634","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Microtes",NA,"occidentalis",NA,"Microtes occidentalis","6.vii.1939",7,6,1939,NA,"6","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","LACM ENT 424635","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Conozoa",NA,"nicola",NA,"Conozoa nicola","25.vii.1939",7,25,1939,NA,"25","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","LACM ENT 424636","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Psoloessa",NA,"texana",NA,"Psoloessa texana","9.vii.1939",7,9,1939,NA,"9","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","LACM ENT 424637","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Psoloessa",NA,"texana",NA,"Psoloessa texana","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","LACM ENT 424638","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Psoloessa",NA,"texana",NA,"Psoloessa texana","i.viii.1939",8,1,1939,NA,"i","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","LACM ENT 424639","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","12.viii.1939",8,12,1939,NA,"12","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","LACM ENT 424640","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","15.viii.1939",8,15,1939,NA,"15","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","LACM ENT 424641","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","12.viii.1939",8,12,1939,NA,"12","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","LACM ENT 424642","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","15.viii.1939",8,15,1939,NA,"15","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","LACM ENT 424643","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","15.viii.1939",8,15,1939,NA,"15","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","LACM ENT 424644","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","15.viii.1939",8,15,1939,NA,"15","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","LACM ENT 424645","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","16.viii.1939",8,16,1939,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","LACM ENT 424646","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","15.viii.1939",8,15,1939,NA,"15","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","LACM ENT 424647","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","16.viii.1939",8,16,1939,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","LACM ENT 424648","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","12.vii.1939",7,12,1939,NA,"12","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","LACM ENT 424649","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","12.vii.1939",7,12,1939,NA,"12","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","LACM ENT 424650","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","12.vii.1939",7,12,1939,NA,"12","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","LACM ENT 424651","USA","CA","Los Angeles","San Clemente","Mosquito Cove","L.M. Martin","Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","24.xi.1939",11,24,1939,NA,"24","xi","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","LACM ENT 424652","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","13.viii.1939",8,13,1939,NA,"13","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","LACM ENT 424653","USA","CA","Los Angeles","San Clemente","Mosquito Cove","D. Meadows","Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","25.xi.1939",11,25,1939,NA,"25","xi","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","LACM ENT 424654","USA","CA","Los Angeles","San Clemente","Mosquito Cove","L.M. Martin","Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","25.xi.1939",11,25,1939,NA,"25","xi","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","LACM ENT 424655","USA","CA","Los Angeles","San Clemente","Mosquito Cove","L.M. Martin","Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pallidipennis","pallidipennis","Trimerotropis pallidipennis pallidipennis","25.xi.1939",11,25,1939,NA,"25","xi","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","LACM ENT 424656","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","26.vii.1939",7,26,1939,NA,"26","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"162","LACM ENT 424657","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","26.vii.1939",7,26,1939,NA,"26","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"163","LACM ENT 424658","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","26.vii.1939",7,26,1939,NA,"26","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"164","LACM ENT 424659","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","26.vii.1939",7,26,1939,NA,"26","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"165","LACM ENT 424660","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","24.vii.1939",7,24,1939,NA,"24","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"166","LACM ENT 424661","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","26.vii.1939",7,26,1939,NA,"26","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"167","LACM ENT 424662","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","26.vii.1939",7,26,1939,NA,"26","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"168","LACM ENT 424663","USA","CA","Ventura","San Nicolas",NA,NA,"Orthoptera","Acrididae",NA,"Trimerotropis",NA,"pseudofasciata",NA,"Trimerotropis pseudofasciata","24.vii.1939",7,24,1939,NA,"24","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
