record,order,family,acceptedFamily,genus,acceptedGenus,species,acceptedEpithet ,acceptedName,DESCRIBER,DESYR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,Anacapa,Santa Barbara,Santa Catalina,San Clemente,,Santa Cruz,San Miguel,San Nicholas,Santa Rosa,NO,SO,COR,GUA,MONTH,year,NOSPEC,ECOLOGY,NOTES,,
Literature,Lepidoptera,Geometridae,Geometridae,Aethaloida,Aetholoida,packardaria,packardaria,Aetholoida packardaria,(Hulst),1888,,"Rindge, F.",1983,Bull. Amer. Mus. Nat. Hist.,175,169,,,,,,,,,,,,,,,,0,,,"""Channel Islands""",,,
Literature,Lepidoptera,Geometridae,Geometridae,Anacamptodes,Iridopsis,obliquaria,obliquaria,Iridopsis obliquaria,(Grote),1883,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,84,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Cheteoscelis,Synchlora,faseolaria,faseolaria,Synchlora faseolaria,(Guenee),1858,as Merochlora,Ferguson,1969,"Bull. PMNH, Yale Univ.",29,1,-251,,x,,x,,,,,,x,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Cheteoscelis,Synchlora,faseolaria,faseolaria,Synchlora faseolaria,(Guenee),1857,,Ferguson,1985,Moths of Amer. N. Mex.,18,1,-131,,x,,x,,,x,,,x,,,,,0,,,foodplant on Cat. is A. califo,,,
Literature,Lepidoptera,Geometridae,Geometridae,Dichorda,Dichorda,illustraria,illustraria,Dichorda illustraria,(Hulst),1886,,Ferguson,1985,"Moths Amer. No. Mex., Fasc. 18",,1,-131,,,,x,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Dichorda,Dichorda,illustraria,illustraria,Dichorda illustraria,(Hulst),1886,,Ferguson,1985,Moths of Amer. N. Mex.,18,1,-131,,,,x,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Euphyia,Euphyia,implicata,implicata,Euphyia implicata,(Guenee),1857,,Comstock,1939,Bull. S. Calif. Acad. Sci.,38,198,-200,,,,,x,,,x,x,x,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Eupithecia,Eupithecia,bivittata,bivittata,Eupithecia bivittata,(Hulst),1896,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,84,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Eupithecia,Eupithecia,subvirens,subvirens,Eupithecia subvirens,Dietze,1875,,McDunnough,1949,Bull. Amer. Mus. Nat. Hist.,93,533,-728,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Hulstina,Hulstina,wrightiaria,wrightiaria,Hulstina wrightiaria,(Hulst),1888,,Rindge,1970,Bull. Amer. Mus. Nat. Hist.,142,255,-342,,,,,,,x,,,,,,,,0,,,,,,
