kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,species check,sci_name,assign by island,needs review,MASTER_ELIM,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
,,,,,calystegia occidentalis,calystegia occidentalis,calystegia occidentalis,,,ELIM,0,,,,,,,,
,,,,,camissonia bistorta,camissoniopsis bistorta,camissoniopsis bistorta,,,ELIM,0,,,,,,,,
,,,,,camissoniopsis bistorta x cheiranthifolia,camissoniopsis bistorta x cheiranthifolia,,,,ELIM,0,,,,,,,,
,,,,,camissoniopsis lewisii,camissoniopsis lewisii,camissoniopsis lewisii,,,ELIM,0,,,,,,,,
,,,,,cannabis sativa,cannabis sativa,cannabis sativa,,,ELIM,0,,,,,,,,
,,,,,cardiospermum corindum,cardiospermum corindum,cardiospermum corindum,,,ELIM,0,,,,,,,,
,,,,,carex aquatilis var. dives,carex aquatilis var. dives,carex aquatilis var. dives,,,ELIM,0,,,,,,,,
,,,,,carex schottii,carex schottii,carex schottii,,,ELIM,0,,,,,,,,
,,,,,carex subfusca,carex subfusca,carex subfusca,,,ELIM,0,,,,,,,,
,,,,,castilleja affinis hybrid,castilleja affinis hybrid,,,,ELIM,0,,,,,,,,
,,,,,castilleja lanata,castilleja lanata,castilleja lanata,,,ELIM,0,,,,,,,,
,,,,,castilleja miniata,castilleja miniata,castilleja miniata,,,ELIM,0,,,,,,,,
,,,,,castilleja wightii,castilleja wightii,castilleja wightii,,,ELIM,0,,,,,,,,
,,,,,casuarina equisetifolia,casuarina equisetifolia,casuarina equisetifolia,,,ELIM,0,,,,,,,,
,,,,,caulanthus inflatus,caulanthus inflatus,caulanthus inflatus,,,ELIM,0,,,,,,,,
,,,,,ceanothus crassifolius var. planus,ceanothus crassifolius var. planus,ceanothus crassifolius var. planus,,,ELIM,0,,,,,,,,
,,,,,ceanothus cuneatus,ceanothus cuneatus,ceanothus cuneatus,,,ELIM,0,,,,,,,,
,,,,,ceanothus integerrimus,ceanothus integerrimus,ceanothus integerrimus,,,ELIM,0,,,,,,,,
,,,,,ceanothus oliganthus,ceanothus oliganthus,ceanothus oliganthus,,,ELIM,0,,,,,,,,
,,,,,cedrus deodara,cedrus deodara,cedrus deodara,,,ELIM,0,,,,,,,,
,,,,,cenchrus echinatus,cenchrus echinatus,cenchrus echinatus,,,ELIM,0,,,,,,,,
,,,,,cenchrus setaceus,cenchrus setaceus,cenchrus setaceus,,,ELIM,0,,,,,,,,
,,,,,pennisetum setaceum,cenchrus setaceus,cenchrus setaceus,,,ELIM,0,,,,,,,,
,,,,,cerastium arvense,cerastium arvense,cerastium arvense,,,ELIM,0,,,,,,,,
,,,,,ceratonia siliqua,ceratonia siliqua,ceratonia siliqua,,,ELIM,0,,,,,,,,
,,,,,chamaerops humilis,chamaerops humilis,chamaerops humilis,,,ELIM,0,,,,,,,,
,,,,,chamaesyce maculata,chamaesyce maculata,chamaesyce maculata,,,ELIM,0,,,,,,,,
,,,,,chasmanthe floribunda,chasmanthe floribunda,chasmanthe floribunda,,,ELIM,0,,,,,,,,
,,,,,cheilanthes californica,cheilanthes californica,cheilanthes californica,,,ELIM,0,,,,,,,,
,,,,,chenopodium album,chenopodium album,chenopodium album,,,ELIM,0,,,,,,,,
,,,,,chenopodium berlandieri subsp. sinuatum,chenopodium berlandieri var. sinuatum,chenopodium berlandieri var. sinuatum,,,ELIM,0,,,,,,,,
,,,,,chenopodium berlandieri var. sinuatum,chenopodium berlandieri var. sinuatum,chenopodium berlandieri var. sinuatum,,,ELIM,0,,,,,,,,
,,,,,chenopodium berlandieri var. zschackei,chenopodium berlandieri var. zschackei,chenopodium berlandieri var. zschackei,,,ELIM,0,,,,,,,,
,,,,,camissonia claviformis subsp. claviformis,chylismia claviformis subsp. claviformis,chylismia claviformis subsp. claviformis,,,ELIM,0,,,,,,,,
,,,,,cirsium occidentale var. compactum,cirsium occidentale var. compactum,cirsium occidentale var. compactum,,,ELIM,0,,,,,,,,
,,,,,cirsium ochrocentrum,cirsium ochrocentrum,cirsium ochrocentrum,,,ELIM,0,,,,,,,,
,,,,,cistus incanus,cistus incanus,cistus incanus,,,ELIM,0,,,,,,,,
,,,,,clinopodium chandleri,clinopodium chandleri,clinopodium chandleri,,,ELIM,0,,,,,,,,
,,,,,clivia miniata,clivia miniata,clivia miniata,,,ELIM,0,,,,,,,,
,,,,,colletia spinosissima,colletia spinosissima,colletia spinosissima,,,ELIM,0,,,,,,,,
,,,,,collinsia torreyi,collinsia torreyi,collinsia torreyi,,,ELIM,0,,,,,,,,
,,,,,collomia grandiflora,collomia grandiflora,collomia grandiflora,,,ELIM,0,,,,,,,,
,,,,,colubrina californica,colubrina californica,colubrina californica,,,ELIM,0,,,,,,,,
