kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA,needs_info
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus arcticus subsp. littoralis,juncus balticus subsp. ater,Keep,1,1,,,,,,1,""
,,,,,solanum xanti,solanum xanti,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,distichlis spicata subsp. stricta,distichlis spicata,Keep,1,1,1,1,,1,1,1,""
,,,,,solanum xanti var. wallacei,solanum xanti var. wallacei,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata subsp. alba,abronia umbellata var. umbellata,Keep,1,1,1,,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus bufonius var. bufonius,juncus bufonius var. bufonius,Keep,1,1,1,1,,1,1,1,""
,,,,,salix laevigata var. laevigata,salix laevigata var. laevigata,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,poa secunda,poa secunda subsp. secunda,Keep,,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,rhus integrifolia,rhus integrifolia,Keep,1,1,1,1,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,comarostaphylis diversifolia,comarostaphylis diversifolia subsp. planifolia,Keep,,1,1,1,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,platanus racemosa var. racemosa,platanus racemosa,Keep,,,1,,,,,1,""
Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,equisetum telmateia,equisetum telmateia subsp. braunii,Keep,,,1,,,,,1,""
,,,,,lotus salsuginosus,acmispon maritimus,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus salsuginosus,acmispon maritimus var. maritimus,Keep,1,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lupinus succulentus,lupinus succulentus,Keep,1,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,xylococcus bicolor,xylococcus bicolor,Keep,,,,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis pilularis,baccharis pilularis subsp. consanguinea,Keep,1,1,1,1,1,1,1,1,""
