Family,Taxa_name,Syn,Eliminate,assign_by_island,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Asteraceae,Senecio lyonii,,,,,,,,,,1,1
Asteraceae,Senecio vulgaris,,,,1,1,1,1,,1,1,1
Asteraceae,Silybum marianum,,,,,1,1,,1,1,,1
Asteraceae,Solidago velutina subsp. californica,,,,,1,1,,,,,1
Asteraceae,Soliva sessilis,,,,,,,,,,,1
Asteraceae,Sonchus asper subsp. asper,,,,1,1,1,1,,1,1,1
Asteraceae,Sonchus oleraceus,,,,1,1,1,1,1,1,1,1
Asteraceae,Sonchus tenerrimus,,,,,,,,1,1,1,1
Asteraceae,Stebbinsoseris heterocarpa,,,,,1,1,1,,1,1,1
Asteraceae,Stephanomeria cichoriacea,,,,,1,1,,,,,
Asteraceae,Stephanomeria diegensis,,,,,1,1,,,,1,1
Asteraceae,Stephanomeria exigua subsp. coronaria,,,,1,1,1,,,,,1
Asteraceae,Stephanomeria virgata,Stephanomeria virgata subsp. virgata,,,,1,1,,,,1,1
Asteraceae,Stephanomeria virgata subsp. pleurocarpa,Stephanomeria virgata subsp. virgata,,,,1,1,,,,1,1
Asteraceae,Stephanomeria virgata subsp. virgata,,,,,1,1,,,,1,1
Asteraceae,Stylocline gnaphaloides,,,,,1,1,,,,1,1
Asteraceae,Symphyotrichum chilense,,,,,1,1,,,,,
Asteraceae,Symphyotrichum subulatum,,,,,1,1,,,,1,
Asteraceae,Taraxacum erythrospermum,,,,,,1,,,,,1
Asteraceae,Taraxacum officinale,,,,,1,1,,,1,,1
Asteraceae,Tragopogon porrifolius,,,,,,1,,,1,1,1
Asteraceae,Uropappus lindleyi,,,,1,1,1,1,1,1,1,1
Asteraceae,Urospermum picroides,,,,,,1,,,,,
Asteraceae,Venegasia carpesioides,,,,,1,1,,,,,
Asteraceae,Xanthium spinosum,,,,1,1,1,,1,,,1
Asteraceae,Xanthium strumarium,,,,,1,1,,,1,1,1
Athyriaceae,Athyrium filix-femina var. cyclosorum,,,,,1,1,,,,,
Azollaceae,Azolla filiculoides,,,,,,,,,,,1
Bataceae,Batis maritima,,,,,,,,,,1,1
Berberidaceae,Berberis pinnata,Berberis pinnata subsp. insularis,,,,1,1,1,,,,
Berberidaceae,Berberis pinnata subsp. insularis,,,,,1,1,1,,,,
Boraginaceae,Amsinckia intermedia,,,,1,1,1,1,1,1,1,1
Boraginaceae,Amsinckia menziesii,,,,1,,1,1,,,1,1
Boraginaceae,Amsinckia spectabilis var. spectabilis,,,,1,1,1,1,1,1,1,1
Boraginaceae,Cryptantha clevelandii,,,,1,1,1,1,1,1,1,1
Boraginaceae,Cryptantha hipidissima,,,,1,1,,,,,,
Boraginaceae,Cryptantha intermedia,,,,,,,,,,1,1
Boraginaceae,Cryptantha leiocarpa,,,,,1,1,,,,,
Boraginaceae,Cryptantha maritima,,,,,,,,1,1,1,1
Boraginaceae,Cryptantha micromeres,,,,,1,1,,,,,1
Boraginaceae,Cryptantha microstachys,,,,,,,,,,,1
Boraginaceae,Cryptantha muricata,,,,,,1,,,,,
Boraginaceae,Cryptantha traskiae,,,,,,,,,1,1,1
Boraginaceae,Cryptantha wigginsii,,,,,,,,,,,1
Boraginaceae,Echium candicans,,,,,,,,,,,1
Boraginaceae,Harpagonella palmeri,,,,,,,,,,,1
Boraginaceae,Pectocarya,,elim,,,,,,,,,
Boraginaceae,Pectocarya heterocarpa,,,,,,1,,,,,
Boraginaceae,Pectocarya linearis subsp. ferocula,,,,,1,1,1,,1,1,1
Boraginaceae,Pectocarya penicillata,,,,,,1,,,,,1
Boraginaceae,Plagiobothrys acanthocarpus,,,,,,1,,,,,1
Boraginaceae,Plagiobothrys canescens var. catalinensis,,,,,?,1,1,,,1,1
Boraginaceae,Plagiobothrys collinus,,,,,,,,,,,
Boraginaceae,Plagiobothrys collinus var. californicus,,,,,,1,,,,1,1
Boraginaceae,Plagiobothrys collinus var. fulvescens,,,,,,,,,,,1
Boraginaceae,Plagiobothrys collinus var. gracilis,,,,1,,1,1,,,1,1
Brassicaceae,Athysanus pusillus,,,,,,1,,,,1,1
Brassicaceae,Boechera hoffmannii,,,,,1,1,,,,,
Brassicaceae,Brassica nigra,,,,,1,1,1,1,1,1,1
Brassicaceae,Brassica rapa,,,,1,1,1,,,,1,1
Brassicaceae,Brassica tournefortii,,,,,,,,,1,1,
Brassicaceae,Cakile edentula,,,,1,1,,,,1,,
Brassicaceae,Cakile maritima,Cakile maritima subsp. maritima,,,1,1,1,1,,1,1,1
Brassicaceae,Cakile maritima subsp. maritima,,,,1,1,1,1,,1,1,1
Brassicaceae,Capsella bursa-pastoris,,,,1,1,1,,,,1,1
Brassicaceae,Cardamine californica,,,,1,1,1,1,,,,1
Brassicaceae,Cardamine oligosperma,,,,,,1,,,,,1
Brassicaceae,Caulanthus lasiophyllus,,,,1,1,1,1,1,,1,1
Brassicaceae,Descurainia pinnata,,,,,1,1,1,,,1,1
Brassicaceae,Dithyrea maritima,,,,1,,,,,1,,1
Brassicaceae,Draba cuneifolia,,,,,,1,,,1,1,1
Brassicaceae,Erysimum ammophilum,,,,1,1,,,,,,
Brassicaceae,Erysimum cheiri,,,,,,,,,,,1
Brassicaceae,Erysimum insulare,,,,1,1,1,1,,,,
Brassicaceae,Hirschfeldia incana,,,,1,1,1,,,1,1,1
Brassicaceae,Hornungia procumbens,,,,1,1,1,1,1,1,1,
Brassicaceae,Lepidium didymum,,,,,,,1,,,1,1
Brassicaceae,Lepidium draba,,,,,1,1,,,,,1
Brassicaceae,Lepidium lasiocarpum subsp. lasiocarpum,,,,,,,,,1,1,1
Brassicaceae,Lepidium latipes,,,,,,1,,,,1,1
Brassicaceae,Lepidium nitidum,,,,1,1,1,1,1,1,1,1
Brassicaceae,Lepidium oblongum,,,,1,1,1,1,,1,1,1
Brassicaceae,Lepidium strictum,,,,,,,,,,,1
Brassicaceae,Lepidium virginicum,Lepidium virginicum subsp. menziesii,,,,,1,,,,1,1
Brassicaceae,Lepidium virginicum subsp. menziesii,,,,,,1,,,,1,1
Brassicaceae,Lobularia maritima,,,,,,,,,1,1,1
Brassicaceae,Nasturtium officinale,,,,,,1,,,1,,1
Brassicaceae,Raphanus raphanistrum,,,,,1,1,,,,1,1
Brassicaceae,Raphanus sativus,,,,1,1,1,,,1,1,1
Brassicaceae,Sibara filifolia,,,,,,1,,,,1,1
Brassicaceae,Sinapis arvensis,,,,,,1,,,,,1
Brassicaceae,Sisymbrium altissimum,,,,,,,,,,,1
Brassicaceae,Sisymbrium irio,,,,,,,1,,1,1,1
Brassicaceae,Sisymbrium officinale,,,,,1,1,,,,,1
Brassicaceae,Sisymbrium orientale,,,,,,,1,,1,1,1
Brassicaceae,Thysanocarpus conchuliferus,,,,,,1,,,,,
Brassicaceae,Thysanocarpus curvipes,,,,,,1,,,,1,1
Brassicaceae,Thysanocarpus laciniatus,,,,,1,1,,,,1,1
Brassicaceae,Tropidocarpum gracile,,,,,,,,,,1,1
Brassicaceae,Turritis glabra,,,,,,1,,,,,1
Cactaceae,Bergerocactus emoryi,,,,,,,,,,1,1
Cactaceae,Cylindropuntia prolifera,,,,,1,1,1,1,1,1,1
Cactaceae,Echinopsis candicans,,elim,,,,,,,,,
Cactaceae,Opuntia ficus-indica,,,,,,1,1,,1,1,1
Cactaceae,Opuntia littoralis,,,,1,1,1,1,1,1,1,1
Cactaceae,Opuntia oricola,,,,1,1,1,1,1,1,1,1
Cactaceae,Opuntia X occidentalis,,elim,,,,,,,,,
Campanulaceae,Githopsis diffusa subsp. diffusa,,,,,,1,,,,,
Campanulaceae,Lobelia dunnii var. serrata,,,,,,,,,,,1
Campanulaceae,Triodanis biflora,,,,,1,1,,,,1,1
Caprifoliaceae,Lonicera hispidula,,,,,1,1,,,,1,1
Caprifoliaceae,Lonicera interrupta,,,,,,1,,,,,?
Caprifoliaceae,Lonicera subspicata,,,,,,1,,,,,1
Caprifoliaceae,Lonicera subspicata var. denudata,,,,,,1,,,,,1
Caprifoliaceae,Lonicera subspicata var. subspicata,,,,,1,1,,,,,1
Caprifoliaceae,Symphoricarpos mollis,,,,,1,1,,,,,1
Caryophyllaceae,Cardionema ramosissimum,,,,1,1,1,,,,1,
Caryophyllaceae,Cerastium glomeratum,,,,1,1,1,1,,,1,1
