kingdom_final,phylum_final,class_final,order_final,family_final,old_name,new_datasetname,syn_replace,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. borealis,Achillea millefolium,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. lanulosa,Achillea millefolium,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. arenicola,Achillea millefolium,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. californica,Achillea millefolium,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium,Achillea millefolium,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achyrachaena mollis,Achyrachaena mollis,,Keep,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Perezia microcephala,Acourtia microcephala,,Keep,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acourtia microcephala,Acourtia microcephala,,Keep,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris apargioides,Agoseris apargioides,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris grandiflora var. grandiflora,Agoseris grandiflora var. grandiflora,,Keep,1,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris grandiflora,Agoseris grandiflora var. grandiflora,,Keep,1,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris heterophylla var. heterophylla,Agoseris heterophylla,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris heterophylla,Agoseris heterophylla,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Amblyopappus pusillus,Amblyopappus pusillus,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia acanthicarpa,Ambrosia acanthicarpa,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia chamissonis var. bipinnatisecta,Ambrosia chamissonis,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Franseria chamissonis subsp. bipinnatisecta,Ambrosia chamissonis,,Keep,1,1,1,1,,1,1,1
