scientificName,acceptedName
Atriplex watsonii,Atriplex watsonii
Avena barbata,Avena barbata
Avena fatua,Avena fatua
Avena sativa,Avena sativa
Avena sterilis,Avena sterilis
Baccharis douglasii,Baccharis glutinosa
Baccharis glutinosa,Baccharis glutinosa
Baccharis pilularis,Baccharis pilularis
Baccharis pilularis subsp. consanguinea,Baccharis pilularis subsp. consanguinea
Baccharis pilularis subsp. pilularis,Baccharis pilularis subsp. pilularis
Baccharis plummerae,Baccharis plummerae
Baccharis plummerae subsp. plummerae,Baccharis plummerae subsp. plummerae
Baccharis salicifolia subsp. salicifolia,Baccharis salicifolia
Baccharis salicifolia,Baccharis salicifolia
Baccharis emoryi,Baccharis salicina
Baccharis salicina,Baccharis salicina
Baccharis sarothroides,Baccharis sarothroides
Batis maritima,Batis maritima
Beaucarnea recurvata,Beaucarnea recurvata
Berberis pinnata,Berberis pinnata
Mahonia pinnata,Berberis pinnata
Berberis pinnata subsp. insularis,Berberis pinnata subsp. insularis
Mahonia pinnata subsp. insularis,Berberis pinnata subsp. insularis
Mahonia pinnata subsp. pinnata,Berberis pinnata subsp. Pinnata
Bergerocactus emoryi,Bergerocactus emoryi
Berula erecta,Berula erecta
Berula incisa,Berula erecta
Besa papillaeformis,Besa papillaeformis
Beta vulgaris,Beta vulgaris
Beta maritima,Beta vulgaris subsp. maritima
Beta vulgaris subsp. maritima,Beta vulgaris subsp. maritima
Beta macrocarpa,Beta vulgaris subsp. vulgaris
Beta vulgaris subsp. macrocarpa,Beta vulgaris subsp. vulgaris
Beta vulgaris subsp. vulgaris,Beta vulgaris subsp. vulgaris
Billardiera heterophylla,Billardiera heterophylla
Binghamia californica,Binghamia californica
Bituminaria bituminosa,Bituminaria bituminosa
Blennosperma nanum,Blennosperma nanum
Blennosperma nanum var. nanum,Blennosperma nanum var. nanum
Bloomeria crocea,Bloomeria crocea
Bloomeria aurea,Bloomeria crocea var. aurea
Bloomeria crocea var. aurea,Bloomeria crocea var. aurea
Bloomeria crocea var. crocea,Bloomeria crocea var. crocea
Arabis hoffmannii,Boechera hoffmannii
Arabis maxima var. hoffmannii,Boechera hoffmannii
Boechera hoffmannii,Boechera hoffmannii
Bolboschoenus maritimus,Bolboschoenus fluviatilis
Schoenoplectus maritimus,Bolboschoenus maritimus
Scirpus maritimus,Bolboschoenus maritimus  
Bolboschoenus maritimus subsp. paludosus,Bolboschoenus maritimus subsp. paludosus
Bolboschoenus robustus,Bolboschoenus robustus
Bonnemaisonia hamifera,Bonnemaisonia hamifera
Bossiella chiloensis,Bossiella chiloensis
Bossiella orbigniana,Bossiella orbigniana
Bossiella pachyclada,Bossiella pachyclada
Bothriochloa barbinodis,Bothriochloa barbinodis
Bothriochloa laguroides subsp. torreyana,Bothriochloa laguroides var. torreyana
Botryocladia pseudodichotoma,Botryocladia pseudodichotoma
Botryoglossum farlowianum,Botryoglossum farlowianum
Botryoglossum ruprechtianum,Botryoglossum ruprechtianum
Bowlesia incana,Bowlesia incana
Brachypodium distachyon,Brachypodium distachyon
Branchioglossum undulatum,Branchioglossum undulatum
Brassica juncea,Brassica juncea
Brassica nigra,Brassica nigra
Brassica rapa,Brassica rapa
Brassica rapa var. rapa,Brassica rapa var. rapa
Brassica tournefortii,Brassica tournefortii
Brickellia californica,Brickellia californica
Brickellia incana,Brickellia incana
Briza maxima,Briza maxima
Briza minor,Briza minor
Brodiaea coronaria subsp. coronaria,Brodiaea coronaria subsp. coronaria
Brodiaea jolonensis,Brodiaea jolonensis
Brodiaea kinkiensis,Brodiaea kinkiensis
Brodiaea minor,Brodiaea minor
Bromus arizonicus,Bromus arizonicus
Bromus berteroanus,Bromus berteroanus
Bromus trinii,Bromus berteroanus
Bromus carinatus,Bromus carinatus
Bromus carinatus var. carinatus,Bromus carinatus var. carinatus
Bromus carinatus var. marginatus,Bromus carinatus var. marginatus
Bromus marginatus,Bromus carinatus var. marginatus 
Bromus carinatus var. maritimus,Bromus carinatus var. maritimus
Bromus catharticus,Bromus catharticus
Bromus willdenowii,Bromus catharticus
Bromus catharticus var. catharticus,Bromus catharticus var. catharticus
Bromus stamineus,Bromus catharticus var. elatus 
Bromus diandrus,Bromus diandrus
Bromus diandrus subsp. rigidus,Bromus diandrus var. rigidus
Bromus hordeaceus,Bromus hordeaceus
Bromus hordeaceus subsp. divaricatus,Bromus hordeaceus
Bromus hordeaceus subsp. molliformis,Bromus hordeaceus
Bromus molliformis,Bromus hordeaceus
Bromus mollis,Bromus hordeaceus
Bromus laevipes,Bromus laevipes
Bromus madritensis,Bromus madritensis
Bromus madritensis subsp. rubens,Bromus madritensis subsp. rubens
Bromus maritimus,Bromus maritimus
Bromus pseudolaevipes,Bromus pseudolaevipes
Bromus rubens,Bromus rubens
Bromus sitchensis,Bromus sitchensis
Bromus sitchensis var. marginatus,Bromus sitchensis var. marginatus
Bromus sterilis,Bromus sterilis
Bromus tectorum,Bromus tectorum
Bryopsis corticulans,Bryopsis corticulans
Bryum gemmiparum,Bryum gemmiparum
Butia capitata,Butia capitata
Cakile edentula,Cakile edentula
Cakile edentula subsp. edentula,Cakile edentula subsp. edentula
Cakile edentula var. edentula,Cakile edentula subsp. edentula
Cakile maritima,Cakile maritima
Cakile maritima subsp. maritima,Cakile maritima subsp. maritima
Calamagrostis rubescens,Calamagrostis rubescens
Calandrinia breweri,Calandrinia breweri
Calandrinia ciliata,Calandrinia ciliata
Calandrinia ciliata var. menziesii,Calandrinia ciliata
Calendula arvensis,Calendula arvensis
Calendula officinalis,Calendula officinalis
California macrophylla,California macrophylla
Erodium macrophyllum,California macrophylla
Calliarthron cheilosporioides,Calliarthron cheilosporioides
Calliarthron tuberculosum,Calliarthron tuberculosum
Callithamnion pikeanum,Callithamnion pikeanum
Callithamnion rupicolum,Callithamnion rupicolum
Callitriche marginata,Callitriche marginata
Callitriche stagnalis,Callitriche stagnalis
Cupressus guadalupensis,Callitropsis guadalupensis
Cupressus lusitanica,Callitropsis lusitanica
Callophyllis firma,Callophyllis firma
Callophyllis flabellulata,Callophyllis flabellulata
Callophyllis violacea,Callophyllis violacea
Calocedrus decurrens,Calocedrus decurrens
Calochortus albus,Calochortus albus
Calochortus albus var. rubellus,Calochortus albus var. rubellus
Calochortus catalinae,Calochortus catalinae
Calochortus luteus,Calochortus luteus
Calochortus splendens,Calochortus splendens
Calochortus venustus,Calochortus venustus
Calyptridium monandrum,Calyptridium monandrum
Cistanthe monandra,Calyptridium monandrum
Calystegia macrostegia,Calystegia macrostegia
Calystegia macrostegia subsp. amplissima,Calystegia macrostegia subsp. amplissima
Calystegia macrostegia subsp. arida,Calystegia macrostegia subsp. amplissima
Calystegia macrostegia subsp. cyclostegia,Calystegia macrostegia subsp. cyclostegia
Calystegia macrostegia subsp. intermedia,Calystegia macrostegia subsp. intermedia
Calystegia macrostegia subsp. macrostegia,Calystegia macrostegia subsp. macrostegia
Calystegia malacophylla,Calystegia malacophylla
Calystegia occidentalis,Calystegia occidentalis
Calystegia soldanella,Calystegia soldanella
Camissonia strigulosa,Camissonia strigulosa
Camissonia bistorta,Camissoniopsis bistorta
Camissonia cheiranthifolia,Camissoniopsis cheiranthifolia
Camissoniopsis cheiranthifolia,Camissoniopsis cheiranthifolia
Camissonia cheiranthifolia subsp. cheiranthifolia,Camissoniopsis cheiranthifolia subsp. cheiranthifolia
Camissoniopsis cheiranthifolia subsp. cheiranthifolia,Camissoniopsis cheiranthifolia subsp. cheiranthifolia
Camissonia cheiranthifolia subsp. suffruticosa,Camissoniopsis cheiranthifolia subsp. suffruticosa
Camissoniopsis cheiranthifolia subsp. suffruticosa,Camissoniopsis cheiranthifolia subsp. suffruticosa
Camissoniopsis guadalupensis,Camissoniopsis guadalupensis
Camissonia guadalupensis subsp. clementina,Camissoniopsis guadalupensis subsp. clementina
Camissoniopsis guadalupensis subsp. clementina,Camissoniopsis guadalupensis subsp. clementina
Oenothera guadalupensis subsp. clementina,Camissoniopsis guadalupensis subsp. clementina
Camissonia hirtella,Camissoniopsis hirtella
Camissoniopsis hirtella,Camissoniopsis hirtella
Camissonia ignota,Camissoniopsis ignota
Camissoniopsis ignota,Camissoniopsis ignota
Camissonia intermedia,Camissoniopsis intermedia
Camissoniopsis intermedia,Camissoniopsis intermedia
Camissoniopsis lewisii,Camissoniopsis lewisii
Camissonia micrantha,Camissoniopsis micrantha
Camissoniopsis micrantha,Camissoniopsis micrantha
Oenothera micrantha,Camissoniopsis micrantha
Camissonia robusta,Camissoniopsis robusta
Camissoniopsis robusta,Camissoniopsis robusta
Cannabis sativa,Cannabis sativa
Capsella bursa-pastoris,Capsella bursa-pastoris
Cardamine californica,Cardamine californica
Cardamine californica var. californica,Cardamine californica
Cardamine californica var. integrifolia,Cardamine californica
Dentaria californica,Cardamine californica
Dentaria integrifolia var. californica,Cardamine californica
Cardamine oligosperma,Cardamine oligosperma
Cardionema ramosissimum,Cardionema ramosissimum
Carduus pycnocephalus,Carduus pycnocephalus
Carex aquatilis var. dives,Carex aquatilis var. dives
Carex barbarae,Carex barbarae
Carex globosa,Carex globosa
Carex gracilior,Carex gracilior
Carex harfordii,Carex harfordii
Carex pansa,Carex pansa
Carex praegracilis,Carex praegracilis
Carex schottii,Carex schottii
Carex senta,Carex senta
Carex subbracteata,Carex subbracteata
Carex subfusca,Carex subfusca
Carex triquetra,Carex triquetra
Carex tumulicola,Carex tumulicola
Carpobrotus aequilaterus,Carpobrotus chilensis
Carpobrotus chilensis,Carpobrotus chilensis
Mesembryanthemum chilense,Carpobrotus chilensis
Carpobrotus edulis,Carpobrotus edulis
Carpopeltis bushiae,Carpopeltis bushiae
Castilleja affinis,Castilleja affinis
Castilleja affinis var. affinis,Castilleja affinis subsp. affinis
Castilleja affinis subsp. affinis,Castilleja affinis subsp. affinis
Castilleja affinis subsp. insularis,Castilleja affinis subsp. affinis
Castilleja attenuata,Castilleja affinis subsp. affinis
Castilleja densiflora,Castilleja densiflora
Castilleja densiflora subsp. densiflora,Castilleja densiflora subsp. densiflora
Orthocarpus densiflorus,Castilleja densiflora subsp. densiflora
