kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,MASTER_ELIM,sci_name,,needs review,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA,assign by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus subpinnatus,KEEP,acmispon strigosus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon wrangelianus,KEEP,acmispon wrangelianus,,,5,1,1,1,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus wrangelianus,KEEP,acmispon wrangelianus,,,5,1,1,1,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,acourtia microcephala,KEEP,acourtia microcephala,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,perezia microcephala,KEEP,acourtia microcephala,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum,KEEP,adenostoma fasciculatum,,,4,,1,1,,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum var. fasciculatum,KEEP,adenostoma fasciculatum,,,4,,1,1,,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum var. prostratum,KEEP,adenostoma fasciculatum,,,4,,1,1,,,,1,1,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum aleuticum,KEEP,adiantum aleuticum,,,1,,,1,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum capillus-veneris,KEEP,adiantum capillus-veneris,,,4,,1,1,1,,,,1,
,,,,,adiantum emarginatum,ELIM,adiantum emarginatum,K,,0,,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum jordani,KEEP,adiantum jordanii,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum jordanii,KEEP,adiantum jordanii,,,7,1,1,1,1,,1,1,1,
,,,,,adiantum pedatum,ELIM,adiantum pedatum,,,0,,,,,,,,,
,,,,,adiantum pedatum subsp. aleuticum,ELIM,adiantum pedatum subsp. aleuticum,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aegilops cylindrica,KEEP,aegilops cylindrica,,,2,1,,,,,,,1,
,,,,,aeonium haworthii,ELIM,aeonium haworthii,,,0,,,,,,,,,
,,,,,aesculus parryi,ELIM,aesculus parryi,This record comes from SRI and should be vetted,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,agave americana,KEEP,agave americana,,,5,,1,1,,,1,1,1,
,,,,,agave filifera,ELIM,agave filifera,K,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris apargioides,KEEP,agoseris apargioides,,,1,,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris grandiflora,KEEP,agoseris grandiflora var. grandiflora,,,3,1,1,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris grandiflora var. grandiflora,KEEP,agoseris grandiflora var. grandiflora,,,3,1,1,1,,,,,,
,,,,,agoseris grandiflora?,ELIM,agoseris grandiflora?,J,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris heterophylla,KEEP,agoseris heterophylla,,,1,,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris heterophylla var. heterophylla,KEEP,agoseris heterophylla,,,1,,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis exarata,KEEP,agrostis exarata,,,1,,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis diegoensis,KEEP,agrostis pallens,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis pallens,KEEP,agrostis pallens,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis stolonifera,KEEP,agrostis stolonifera,,,3,,1,,1,,,,1,
,,,,,ailanthus altissima,ELIM,ailanthus altissima,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aira caryophyllea,KEEP,aira caryophyllea,,,1,,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,albizia lophantha,KEEP,albizia lophantha,,,1,,,1,,,,,,
,,,,,alcea rosea,ELIM,alcea rosea,,,0,,,,,,,,,
,,,,,althaea rosea,ELIM,alcea rosea,,,0,,,,,,,,,
,,,,,aldama glomerata var. insularis,ELIM,aldama glomerata var. insularis,K,,0,,,,,,,,,
,,,,,allium haematochiton,ELIM,allium haematochiton,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium lacunosum,KEEP,allium lacunosum var. lacunosum,,,2,,1,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium lacunosum var. lacunosum,KEEP,allium lacunosum var. lacunosum,,,2,,1,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium peninsulare var. peninsulare,ELIM,allium peninsulare var. peninsulare,K,,0,,,,,,,,,
,,,,,allium peninsulare,ELIM,allium peninsulare var. peninsulare,K,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium praecox,KEEP,allium praecox,,,5,1,1,1,,,,1,1,
,,,,,allophyllum gilioides,ELIM,allophyllum gilioides,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,allophyllum glutinosum,KEEP,allophyllum glutinosum,,,1,,,,,,,,1,
,,,,,allowissadula holosericea,ELIM,allowissadula holosericea,,,0,,,,,,,,,
,,,,,aloe arborescens,ELIM,aloe arborescens,,,0,,,,,,,,,
,,,,,aloe salm-dyckiana,ELIM,aloe salm-dyckiana,K,,0,,,,,,,,,
,,,,,aloe ciliaris,ELIM,aloiampelos ciliaris,,,0,,,,,,,,,
,,,,,alopecurus myosuroides,ELIM,alopecurus myosuroides,,,0,,,,,,,,,
,,,,,alvordia glomerata var. insularis,ELIM,alvordia glomerata var. insularis,K,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus albus,KEEP,amaranthus albus,,,4,,1,1,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus blitoides,KEEP,amaranthus blitoides,,,2,,1,1,,,,,,
,,,,,amaranthus blitoides?,ELIM,amaranthus blitoides?,J,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus deflexus,KEEP,amaranthus deflexus,,,2,,,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus powellii,KEEP,amaranthus powellii,,,2,,,1,1,,,,,
,,,,,amaranthus spinosus,ELIM,amaranthus spinosus,,,0,,,,,,,,,
,,,,,amaryllis belladonna,ELIM,amaryllis belladonna,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,amblyopappus pusillus,KEEP,amblyopappus pusillus,,,8,1,1,1,1,1,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia acanthicarpa,KEEP,ambrosia acanthicarpa,,,1,,,,,,,,1,
,,,,,ambrosia bipinnatifida,ELIM,ambrosia bipinnatifida,K,,0,,,,,,,,,
,,,,,ambrosia camphorata,ELIM,ambrosia camphorata,K,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis,KEEP,ambrosia chamissonis,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis var. bipinnatisecta,KEEP,ambrosia chamissonis,,,7,1,1,1,1,,1,1,1,
