id,month,year,island,class,acceptedGenus,acceptedName,latitude,longitude,locality,source,type,Lat_alb,Lon_alb,Id,ISL_NAME,geometry
657342573,7,1964,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.04631052,-120.3532928,"Culyer Tyler Harbor, San Miguel Island, 1/3 distance w. of east end of North Face",Cal-IBIS,Collection,-440969.1927005658,-32619.661825985582,0,San Miguel,"c(-32619.6618259856, -440969.192700566)"
543631429,5,1919,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.039722,-120.374444,NA,Cal-IBIS,Collection,-441692.54095021915,-34575.436955951125,0,San Miguel,"c(-34575.4369559511, -441692.540950219)"
543621271,4,1913,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.039722,-120.374444,NA,Cal-IBIS,Collection,-441692.54095021915,-34575.436955951125,0,San Miguel,"c(-34575.4369559511, -441692.540950219)"
543621270,4,1913,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.039722,-120.374444,NA,Cal-IBIS,Collection,-441692.54095021915,-34575.436955951125,0,San Miguel,"c(-34575.4369559511, -441692.540950219)"
44927844,NA,NA,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.03785,-120.3729,San Miguel Island,Cal-IBIS,Collection,-441900.75685455883,-34433.6844566977,0,San Miguel,"c(-34433.6844566977, -441900.756854559)"
44927841,NA,NA,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.03785,-120.3729,San Miguel Island,Cal-IBIS,Collection,-441900.75685455883,-34433.6844566977,0,San Miguel,"c(-34433.6844566977, -441900.756854559)"
44927837,NA,NA,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.03785,-120.3729,San Miguel Island,Cal-IBIS,Collection,-441900.75685455883,-34433.6844566977,0,San Miguel,"c(-34433.6844566977, -441900.756854559)"
1677451493,1,1900,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.402619,-118.410767,"Santa Catalina Island, 0.3 mi. E of Catalina Airstrip",Cal-IBIS,Collection,-511167.0954607604,147924.37377175147,0,Santa Catalina,"c(147924.373771751, -511167.09546076)"
1322818095,2,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",Cal-IBIS,Collection,-517662.2308470085,155837.53447960695,0,Santa Catalina,"c(155837.534479607, -517662.230847009)"
1322745972,1,1908,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3906,-118.452,Santa Catalina Island,Cal-IBIS,Collection,-512562.6374748023,144108.53999457264,0,Santa Catalina,"c(144108.539994573, -512562.637474802)"
1322391882,3,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40038365,-118.4556385,Santa Catalina Island,Cal-IBIS,Collection,-511483.85894285794,143752.18569824818,0,Santa Catalina,"c(143752.185698248, -511483.858942858)"
1321782341,2,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",Cal-IBIS,Collection,-517662.2308470085,155837.53447960695,0,Santa Catalina,"c(155837.534479607, -517662.230847009)"
1321530920,3,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40038365,-118.4556385,Santa Catalina Island,Cal-IBIS,Collection,-511483.85894285794,143752.18569824818,0,Santa Catalina,"c(143752.185698248, -511483.858942858)"
1320517055,3,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40038365,-118.4556385,Santa Catalina Island,Cal-IBIS,Collection,-511483.85894285794,143752.18569824818,0,Santa Catalina,"c(143752.185698248, -511483.858942858)"
1320305506,3,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40038365,-118.4556385,Santa Catalina Island,Cal-IBIS,Collection,-511483.85894285794,143752.18569824818,0,Santa Catalina,"c(143752.185698248, -511483.858942858)"
1319745829,1,1908,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3906,-118.452,Santa Catalina Island,Cal-IBIS,Collection,-512562.6374748023,144108.53999457264,0,Santa Catalina,"c(144108.539994573, -512562.637474802)"
1319534441,2,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",Cal-IBIS,Collection,-517662.2308470085,155837.53447960695,0,Santa Catalina,"c(155837.534479607, -517662.230847009)"
1319407641,3,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40038365,-118.4556385,Santa Catalina Island,Cal-IBIS,Collection,-511483.85894285794,143752.18569824818,0,Santa Catalina,"c(143752.185698248, -511483.858942858)"
1319135576,1,1908,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40038365,-118.4556385,Catalina Island (= Santa Catalina Island),Cal-IBIS,Collection,-511483.85894285794,143752.18569824818,0,Santa Catalina,"c(143752.185698248, -511483.858942858)"
1318822611,3,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40038365,-118.4556385,Santa Catalina Island,Cal-IBIS,Collection,-511483.85894285794,143752.18569824818,0,Santa Catalina,"c(143752.185698248, -511483.858942858)"
1318512391,2,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",Cal-IBIS,Collection,-517662.2308470085,155837.53447960695,0,Santa Catalina,"c(155837.534479607, -517662.230847009)"
1318472292,2,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",Cal-IBIS,Collection,-517662.2308470085,155837.53447960695,0,Santa Catalina,"c(155837.534479607, -517662.230847009)"
1318177437,2,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",Cal-IBIS,Collection,-517662.2308470085,155837.53447960695,0,Santa Catalina,"c(155837.534479607, -517662.230847009)"
1317907327,1,1908,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3906,-118.452,Santa Catalina Island,Cal-IBIS,Collection,-512562.6374748023,144108.53999457264,0,Santa Catalina,"c(144108.539994573, -512562.637474802)"
1317453345,2,1932,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",Cal-IBIS,Collection,-517662.2308470085,155837.53447960695,0,Santa Catalina,"c(155837.534479607, -517662.230847009)"
735683882,2,1967,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.443333,-118.494444,Santa Catalina Island; Isthmus Cove,Cal-IBIS,Collection,-506781.7768667443,140064.80362532145,NA,NA,"c(140064.803625321, -506781.776866744)"
735683721,2,1967,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.443333,-118.494444,Santa Catalina Island; Isthmus Cove,Cal-IBIS,Collection,-506781.7768667443,140064.80362532145,NA,NA,"c(140064.803625321, -506781.776866744)"
735683524,2,1967,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.443333,-118.494444,Santa Catalina Island; Isthmus Cove,Cal-IBIS,Collection,-506781.7768667443,140064.80362532145,NA,NA,"c(140064.803625321, -506781.776866744)"
735683378,2,1967,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.443333,-118.494444,Santa Catalina Island; Isthmus Cove,Cal-IBIS,Collection,-506781.7768667443,140064.80362532145,NA,NA,"c(140064.803625321, -506781.776866744)"
735683369,2,1967,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.443333,-118.494444,Santa Catalina Island; Isthmus Cove,Cal-IBIS,Collection,-506781.7768667443,140064.80362532145,NA,NA,"c(140064.803625321, -506781.776866744)"
735683284,2,1967,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.443333,-118.494444,Santa Catalina Island; Isthmus Cove,Cal-IBIS,Collection,-506781.7768667443,140064.80362532145,NA,NA,"c(140064.803625321, -506781.776866744)"
