source,order,family,genus,specificEp,scientificName,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,Lepidoptera,Crambidae,Euchromius,ocellus,Euchromius ocellus,1992,Tijds. Ent.,,,,,,,,,,
lit,Lepidoptera,Crambidae,Evergestis,angustalis catalinae,Evergestis angustalis catalinae,1973,Moths Amer. N. Mexico,,,,,x,,,,,
lit,Lepidoptera,Crambidae,Evergestis,angustalis catalinae,Evergestis angustalis catalinae,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Crambidae,Hellula,rogatalis,Hellula rogatalis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Lepidoptera,Crambidae,Microcrambus,copelandi,Microcrambus copelandi,1968,J. New York Ent. Soc.,,,,,x,,x,,,
lit,Lepidoptera,Crambidae,Microcrambus,copelandi,Microcrambus copelandi,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Crambidae,Nomophila,nearctica,Nomophila nearctica,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,x,,,,
lit,Lepidoptera,Crambidae,Udea,berberalis,Udea berberalis,1966,Mem. Ent. Soc. Can.,,,x,,,,x,,,
lit,Lepidoptera,Crambidae,Uresiphita,reversalis,Uresiphita reversalis,1992,Pan-Pac. Ent.,,,,,x,,,,,
lit,Lepidoptera,Crambidae,Uresiphita,reversalis,Uresiphita reversalis,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Lepidoptera,Dioptidae,Phryganidia,californica,Phryganidia californica,1987,Proc. Ent. Soc. Wash.,,,x,,x,,x,,,x
lit,Lepidoptera,Eriocraniidae,Dyseriocrania,auricyanea,Dyseriocrania auricyanea,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Eriocraniidae,Dyseriocrania,auricyanea,Dyseriocrania auricyanea,1978,Smith. Cont. Zool.,,,,,,,x,,,
lit,Lepidoptera,Eriocraniidae,Eriocraniella,aurosparsella,Eriocraniella aurosparsella,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Eriocraniidae,Eriocraniella,aurosparsella,Eriocraniella aurosparsella,1978,Smith. Cont. Zool.,,,,,,,x,,,
lit,Lepidoptera,Gelechiidae,Anacampsis,lacteusochrella,Anacampsis lacteusochrella,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Gelechiidae,Coleotechnites,sp.,Coleotechnites sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,x,x,,,
lit,Lepidoptera,Gelechiidae,Coleotechnites,sp.,Coleotechnites sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,x,x,,,
lit,Lepidoptera,Gelechiidae,Dichomeris,delotella,Dichomeris delotella,1986,Moths Amer. N. Mex.,,,,,,,x,,,
lit,Lepidoptera,Gelechiidae,Rifseria,fuscotaeniaella,Rifseria fuscotaeniaella,1966,Proc. U.S. Nat. Mus.,,,,,x,,,,,
lit,Lepidoptera,Gelechiidae,Telphusa,sedulitella,Telphusa sedulitella,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Gelechiidae,Trichotaphe,sp.,Trichotaphe sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Geometridae,,undescribed, undescribed,1938,Univ. Colorado Stud.,,,,,x,,,,,
lit,Lepidoptera,Geometridae,,undescribed2, undescribed2,1938,Univ. Colorado Stud.,,,,,x,,,,,
lit,Lepidoptera,Geometridae,Aethaloida,packardaria,Aethaloida packardaria,1983,Bull. Amer. Mus. Nat. Hist.,,,,,,,,,,
lit,Lepidoptera,Geometridae,Anacamptodes,obliquaria,Anacamptodes obliquaria,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Geometridae,Cheteoscelis,faseolaria,Cheteoscelis faseolaria,1969,"Bull. PMNH, Yale Univ.",,,x,,x,,,,,x
lit,Lepidoptera,Geometridae,Cheteoscelis,faseolaria,Cheteoscelis faseolaria,1985,Moths of Amer. N. Mex.,,,x,,x,,x,,,x
lit,Lepidoptera,Geometridae,Dichorda,illustraria,Dichorda illustraria,1985,"Moths Amer. No. Mex., Fasc. 18",,,,,x,,x,,,
lit,Lepidoptera,Geometridae,Dichorda,illustraria,Dichorda illustraria,1985,Moths of Amer. N. Mex.,,,,,x,,x,,,
lit,Lepidoptera,Geometridae,Euphyia,implicata,Euphyia implicata,1939,Bull. S. Calif. Acad. Sci.,,,,,,x,,x,x,x
lit,Lepidoptera,Geometridae,Eupithecia,bivittata,Eupithecia bivittata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Geometridae,Eupithecia,subvirens,Eupithecia subvirens,1949,Bull. Amer. Mus. Nat. Hist.,,,,,x,,,,,
lit,Lepidoptera,Geometridae,Hulstina,wrightiaria,Hulstina wrightiaria,1970,Bull. Amer. Mus. Nat. Hist.,,,,,,,x,,,
lit,Lepidoptera,Geometridae,Hydriomena,albifasciata albifasciata,Hydriomena albifasciata albifasciata,1954,Bull. Amer. Mus. Nat. Hist.,,,,,,,,,,
lit,Lepidoptera,Geometridae,Hydriomena,glaucata,Hydriomena glaucata,1944,Bull. So. Calif. Acad. Sci.,,,,,x,,x,,,
lit,Lepidoptera,Geometridae,Hydriomena,glaucata,Hydriomena glaucata,1954,Bull. Amer. Mus. Nat. Hist.,,,,,x,,x,,,x
lit,Lepidoptera,Geometridae,Hydriomena,glaucata,Hydriomena glaucata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,x,,,x
lit,Lepidoptera,Geometridae,Hydriomena,quinquefasciata,Hydriomena quinquefasciata,1954,Bull. Amer. Mus. Nat. Hist.,,,,,,,,,,x
lit,Lepidoptera,Geometridae,Nemoria,leptalea,Nemoria leptalea,1985,"Moths Amer. No. Mex., Fasc. 18",,,,,x,,x,,,
lit,Lepidoptera,Geometridae,Nemoria,pistacearia,Nemoria pistacearia,1985,"Moths Amer. No. Mex., Fasc.",,,,,x,,x,,,
lit,Lepidoptera,Geometridae,Perizoma,custodiata,Perizoma custodiata,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,x,,,x,
lit,Lepidoptera,Geometridae,Perizoma,sp.,Perizoma sp.,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,x,
lit,Lepidoptera,Geometridae,Pero,catalina,Pero catalina,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Geometridae,Pero,catalina,Pero catalina,1987,USDA Tech. Bull.,,,,,x,,,,,
lit,Lepidoptera,Geometridae,Pero,radiosaria,Pero radiosaria,1987,USDA Tech. Bull.,1987,4,,,x,,,,,
lit,Lepidoptera,Geometridae,Pero,sp. nr. giganteus,Pero sp. nr. giganteus,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,x,,,,
lit,Lepidoptera,Geometridae,Pero,sp. nr. giganteus,Pero sp. nr. giganteus,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,x,,,,
lit,Lepidoptera,Geometridae,Phigalia,plumigeraria,Phigalia plumigeraria,1975,Bull. Amer. Mus. Nat. Hist.,,,,,,,x,,,
lit,Lepidoptera,Geometridae,Pterotaea,crinigera,Pterotaea crinigera,1970,Bull. Amer. Mus. Nat. Hist.,,,,,,x,,,,
lit,Lepidoptera,Geometridae,Pterotaea,crinigera,Pterotaea crinigera,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,x,,,,
lit,Lepidoptera,Geometridae,Pterotaea,lamiaria,Pterotaea lamiaria,1970,Bull. Amer. Mus. Nat. Hist.,,,,,x,,,,,
lit,Lepidoptera,Geometridae,Sabulodes,aegrotata,Sabulodes aegrotata,1978,Bull. Amer. Mus. Nat. Hist.,,,,,x,,x,,,x
lit,Lepidoptera,Geometridae,Stergamataea,delicata,Stergamataea delicata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Gracillariidae,Acrocercops,insulariella,Acrocercops insulariella,1971,J. Lep. Soc.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Acrocercops,insulariella,Acrocercops insulariella,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Acrocercops,insulariella,Acrocercops insulariella,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Acrocercops,insulariella,Acrocercops insulariella,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Caloptilia,agrifoliella,Caloptilia agrifoliella,1971,J. Lep. Soc.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Caloptilia,agrifoliella,Caloptilia agrifoliella,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Caloptilia,reticulata,Caloptilia reticulata,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Cameraria,jacintoensis,Cameraria jacintoensis,1981,Smith. Cont. Zool.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Coptodisca,powellella,Coptodisca powellella,1971,J. Lep. Soc.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Marmara,opuntiella,Marmara opuntiella,1967,Higardia,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Phyllonorycter,antiochella,Phyllonorycter antiochella,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Phyllonorycter,felinelle,Phyllonorycter felinelle,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Gracillariidae,Phyllonorycter,sandraella,Phyllonorycter sandraella,1971,J. Lep. Soc.,,,,,,,x,,,
