source,id,observed_o,month,year,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,captive_cu,oauth_appl,island,place_gues,latitude,longitude,positional,public_pos,geoprivacy,taxon_geop,coordinate,positionin,position_1,species_gu,acceptedFamily,acceptedGenus,scientific,acceptedName,common_nam,iconic_tax,taxon_id
iNaturalist,5264061,2017/03/06 11:32 AM PST,3,2017,3/6/17,2017-03-06 19:32:00 UTC,Pacific Time (US & Canada),86100,naturenate,2017-03-10 04:41:00 UTC,2020-10-15 16:31:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5264061,https://static.inaturalist.org/photos/6515061/medium.jpeg?1489119734, , , ,5,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.36518,-118.3733317,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5275546,1/3/12,1,2012,1/3/12, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-10 20:50:14 UTC,2020-10-15 16:31:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5275546,https://inaturalist-open-data.s3.amazonaws.com/photos/6520482/medium.jpg?1489175867, , , ,4,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.43677689,-118.4954975,717,717, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5275549,1/3/12,1,2012,1/3/12, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-10 20:50:16 UTC,2020-10-15 16:31:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5275549,https://inaturalist-open-data.s3.amazonaws.com/photos/6520486/medium.jpg?1489175873, , , ,4,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.43677689,-118.4954975,717,717, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5275552,1/3/12,1,2012,1/3/12, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-10 20:50:17 UTC,2020-10-15 16:31:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5275552,https://inaturalist-open-data.s3.amazonaws.com/photos/6520494/medium.jpg?1489175885, , , ,4,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.43677689,-118.4954975,717,717, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5275554,1/3/12,1,2012,1/3/12, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-10 20:50:17 UTC,2020-10-15 16:31:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5275554,https://inaturalist-open-data.s3.amazonaws.com/photos/6520509/medium.jpg?1489175895, , , ,4,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.43677689,-118.4954975,717,717, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5454376,2006/08/27 12:47 AM PDT,8,2006,8/27/06,2006-08-27 07:47:00 UTC,Pacific Time (US & Canada),81779,scubabruin,2017-03-25 18:05:38 UTC,2020-10-16 18:00:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5454376,https://static.inaturalist.org/photos/6713585/medium.jpg?1490465027, , , ,7,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.35395726,-118.3515179,31,31, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5454401,2008/07/20 12:04 AM PDT,7,2008,7/20/08,2008-07-20 07:04:00 UTC,Pacific Time (US & Canada),81779,scubabruin,2017-03-25 18:07:13 UTC,2020-10-16 17:56:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5454401,https://static.inaturalist.org/photos/6713652/medium.jpg?1490465174, , , ,6,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.37324291,-118.356535,26,26, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5508865,Mon Mar 27 2017 10:37:35 GMT-0700 (PDT),3,2017,3/27/17,2017-03-27 17:37:35 UTC,Pacific Time (US & Canada),436045,zvezdino,2017-03-30 17:07:39 UTC,2020-10-16 17:55:59 UTC,research, ,https://www.inaturalist.org/observations/5508865,https://static.inaturalist.org/photos/6792133/medium.jpg?1490893666, , , ,6,0,FALSE,3,Santa Catalina,"El Rancho Escondido Rd, Avalon, CA, US",33.37878825,-118.468184,72,72, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5792662,Mon Apr 17 2017 10:39:28 GMT-0700 (PDT),4,2017,4/17/17,2017-04-17 17:39:28 UTC,Pacific Time (US & Canada),451469,garciane,2017-04-17 17:39:49 UTC,2020-10-15 16:23:10 UTC,research, ,https://www.inaturalist.org/observations/5792662,https://static.inaturalist.org/photos/7198064/medium.jpg?1492450850, , , ,4,0,FALSE,3,Santa Catalina,"Cape Canyon Trl, Avalon, CA, US",33.38900002,-118.4037202,5,5, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5797735,Mon Apr 17 2017 12:56:56 GMT-0700 (PDT),4,2017,4/17/17,2017-04-17 19:56:56 UTC,Pacific Time (US & Canada),451469,garciane,2017-04-17 20:23:24 UTC,2020-10-15 16:23:09 UTC,research, ,https://www.inaturalist.org/observations/5797735,https://static.inaturalist.org/photos/7205314/medium.jpg?1492460694, , , ,4,0,FALSE,3,Santa Catalina,"El Rancho Escondido Rd, Avalon, CA, US",33.39997401,-118.4272627,177,177, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5836400,2017-04-18 2:01:50 PM PDT,4,2017,4/18/17,2017-04-18 21:01:50 UTC,Pacific Time (US & Canada),392423,bjdion,2017-04-18 23:52:27 UTC,2020-10-15 16:22:57 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/5836400,https://inaturalist-open-data.s3.amazonaws.com/photos/7261185/medium.jpeg?1492559762, , , ,4,0,FALSE,2,Santa Catalina,"Los Angeles County, US-CA, US",33.39576769,-118.4444614,7,7, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,6385872,Sat May 27 2017 14:43:23 GMT-0700 (PDT),5,2017,5/27/17,2017-05-27 21:43:23 UTC,Pacific Time (US & Canada),300745,inkie,2017-05-27 22:18:56 UTC,2020-10-15 16:29:27 UTC,research, ,https://www.inaturalist.org/observations/6385872,https://static.inaturalist.org/photos/8061876/medium.jpg?1495923541, , , ,6,0,FALSE,3,Santa Catalina,"Stage Rd, Avalon, CA, US",33.35378667,-118.3510133,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,6827999,2017-06-25 7:01:29 PM PDT,6,2017,6/25/17,2017-06-26 02:01:29 UTC,Pacific Time (US & Canada),392423,bjdion,2017-06-27 23:18:41 UTC,2020-10-15 16:14:10 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/6827999,https://inaturalist-open-data.s3.amazonaws.com/photos/8693007/medium.jpeg?1498605595, , ,Patrick dam / haypress,5,0,FALSE,2,Santa Catalina,"Stagecoach Road Avalon, CA 90704",33.35068982,-118.3439189,4128,4128, ,open,FALSE,gps,gps,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,6972664,Thu May 25 2017 12:09:08 GMT-0700 (PDT),5,2017,5/25/17,2017-05-25 19:09:08 UTC,Pacific Time (US & Canada),81668,monicatydlaska,2017-07-08 22:48:51 UTC,2020-10-15 16:13:59 UTC,research, ,https://www.inaturalist.org/observations/6972664,https://static.inaturalist.org/photos/8920503/medium.jpg?1499554166, , , ,4,0,FALSE,3,Santa Catalina,"Middle Ranch Rd, Avalon, CA, US",33.35553333,-118.4379717,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,6972672,Wed May 31 2017 14:56:07 GMT-0700 (PDT),5,2017,5/31/17,2017-05-31 21:56:07 UTC,Pacific Time (US & Canada),81668,monicatydlaska,2017-07-08 22:49:50 UTC,2020-10-15 16:18:32 UTC,research, ,https://www.inaturalist.org/observations/6972672,https://static.inaturalist.org/photos/8920530/medium.jpg?1499554304, , , ,5,0,FALSE,3,Santa Catalina,"Santa Catalina Island, Avalon, CA, US",33.3535,-118.4459617,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
