source,record,ORDER,acceptedOrder,FAMILY,acceptedFamily,GENUS,acceptedGenus,SPECIES,scientificName,acceptedName,DESCRIBER,YEAR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,MUSEUM,SOURCE,ANA,BAR,CAT,CLE,COR,CRU,GUA,MIG,NIC,ROS,NO,SO,COLLECTOR,MONTH,YRCOLL,NOSPEC,ECOLOGY,NOTES
Literature,Literature,Hemiptera,Hemiptera,Reduviidae,Reduviidae,Apiomerus,Apiomerus,,Apiomerus ,,,,as crassipes MISID,Lima et al.,1951,Mem. Inst. Oswaldo Cruz,49,349,,,IOC?,,,,x,,,,,,,,,,Dyar & Caudell,6,1906,1,,=A.californicus Szerlip ms ?
Literature,Literature,Hemiptera,Hemiptera,Reduviidae,Reduviidae,Empicoris,Empicoris,,Empicoris ,,,,,"Fellers, G. & Drost, C.",1991,Herp. Monographs,5,76,,,,,,x,,,,,,,,,,,,,,,lizard food,
Literature,Literature,Hemiptera,Hemiptera,Reduviidae,Reduviidae,Rasahus,Rasahus,biguttatus,Rasahus biguttatus,Rasahus biguttatus,(Say),1832,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,288,,H. G. Barber,,,,,,x,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Rhopalidae,Rhopalidae,Liorhyssus,Liorhyssus,hyalinus,Liorhyssus hyalinus,Liorhyssus hyalinus,(Fabricius),1794,Corizus SYN,Cockerell,1916,Ent. News,27,469,,,,,,,,,x,,,,,,,,Cockerell,8,1915,,,
Literature,Literature,Hemiptera,Hemiptera,Saldidae,Saldidae,Saldula,Saldula,comatula,Saldula comatula,Saldula comatula,Parshley,1923,,"Lee, Ryckman et al.",1955,Bull. S. Calif. Acad. Sci.,54,20,-21,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Saldidae,Saldidae,Saldula,Saldula,pexa,Saldula pexa,Saldula pexa,Drake,1950,,Menke et al.,1979,Bull. Calif. Insect Survey,21,30,,,,map,,,x,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Veliidae,Veliidae,Microvelia,Microvelia,beameri,Microvelia beameri,Microvelia beameri,McKinstry,1937,,"Lee, Ryckman et al.",1955,Bull. S. Calif. Acad. Sci.,54,20,-21,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Veliidae,Veliidae,Microvelia,Microvelia,beameri,Microvelia beameri,Microvelia beameri,McKinstry,1937,,Menke et al.,1979,Bull. Calif. Insect Survey,21,55,,,,map,,,x,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Veliidae,Veliidae,Microvelia,Microvelia,,Microvelia ,,,,MISID as paludicola,"Lee, Ryckman et al.",1955,Bull. S. Calif. Acad. Sci.,54,20,-21,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Homoptera,Hemiptera,Aleyrodidae,Aleyrodidae,Aleuroplatus,Aleuroplatus,coronata,Aleuroplatus coronata,Aleuroplatus coronata,(Quaintance),1900,,Bemis,1904,Proc. U.S. Natl. Mus.,27,497,,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Homoptera,Hemiptera,Aleyrodidae,Aleyrodidae,Aleuroplatus,Aleuroplatus,coronata,Aleuroplatus coronata,Aleuroplatus coronata,(Quaintance),1900,,Penny,1922,Pom. Coll. J. Ent. & Zool.,14,21,-35,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Homoptera,Hemiptera,Aleyrodidae,Aleyrodidae,Aleuroplatus,Aleuroplatus,gelatinosus,Aleuroplatus gelatinosus,Aleuroplatus gelatinosus,(Cockerell),1898,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,288,,P.W. Mason,,,,,x,,,,,,,,,,,0,,,found at Rancho Escondido,
Literature,Literature,Homoptera,Hemiptera,Aleyrodidae,Porcellionidae,Aleyrodes,Porcellionides,pruinosus,Porcellionides pruinosus,Porcellionides pruinosus,Bemis,1904,,Bemis,1904,Proc. U.S. Natl. Mus.,27,491,,,,,,,x,,,,,,,,,,,0,,,,not endemic
Literature,Literature,Homoptera,Hemiptera,Aleyrodidae,Porcellionidae,Aleyrodes,Porcellionides,pruinosus,Porcellionides pruinosus,Porcellionides pruinosus,Bemis,1904,,Penny,1922,Pom. Coll. J. Ent. & Zool.,14,21,-35,,,,,,x,,,,,,,,,,,0,,,,
